probability_bin,rows,mean_predicted_probability,observed_good_sleep_rate
"(-0.00099999999635, 0.00995]",61,0.002813024918276665,0.01639344262295082
"(0.00995, 0.0471]",61,0.024892197657063075,0.01639344262295082
"(0.0471, 0.146]",60,0.09041944811547349,0.03333333333333333
"(0.146, 0.271]",61,0.20486926057612165,0.11475409836065574
"(0.271, 0.382]",61,0.32497543566909187,0.21311475409836064
"(0.382, 0.566]",60,0.4749362491119677,0.38333333333333336
"(0.566, 0.73]",61,0.6514991360008145,0.3770491803278688
"(0.73, 0.891]",60,0.8204483807162058,0.7333333333333333
"(0.891, 0.983]",61,0.9423884890593759,0.8688524590163934
"(0.983, 1.0]",61,0.9939586757711923,0.9344262295081968
