participant_object_id,survey_response_count,survey_bfpt_count,survey_breq_count,survey_dq_count,survey_panas_count,survey_stai_count,survey_ttmspbf_count
621e2e8e67b776a24055b564,17,1,2,1,6,6,1
621e2eaf67b776a2406b14ac,20,1,2,1,7,7,2
621e2ed667b776a24085d8d1,16,1,2,1,5,5,2
621e2f1b67b776a240b3d87c,4,0,0,1,0,3,0
621e2f3967b776a240c654db,22,1,1,1,9,9,1
621e2f5767b776a240d8f9d6,1,0,0,1,0,0,0
621e2f6167b776a240e082a9,20,1,2,1,7,7,2
621e2f7a67b776a240f14425,25,1,3,1,9,9,2
621e2f9167b776a240011ccb,16,1,2,1,5,5,2
621e2fb367b776a24015accd,24,1,2,1,9,9,2
621e2fce67b776a240279baa,17,1,2,1,5,6,2
621e2ff067b776a2403eb737,22,1,2,1,8,8,2
621e300767b776a2404dc717,15,0,2,1,5,5,2
621e301367b776a24057738e,28,1,2,1,11,11,2
621e301e67b776a240608a72,29,1,5,1,9,8,5
621e309267b776a240ae1cdb,1,0,0,1,0,0,0
621e309b67b776a240b532b0,16,1,2,1,5,5,2
621e30b267b776a240c5e13f,1,0,0,1,0,0,0
621e30c867b776a240d4aa6c,20,1,2,1,7,7,2
621e30e267b776a240e5bf90,22,1,2,1,8,8,2
621e30e467b776a240e817c7,16,1,2,1,4,6,2
621e30f467b776a240f22944,4,1,1,1,0,0,1
621e310d67b776a24003096d,12,1,1,1,3,4,2
621e312a67b776a240164d59,19,1,2,1,6,7,2
621e314867b776a24029ebf9,8,1,1,1,2,2,1
621e320b67b776a240d36a07,1,0,0,1,0,0,0
621e322367b776a240e44e9b,1,0,0,1,0,0,0
621e323667b776a240f19134,18,1,2,1,6,6,2
621e324e67b776a2400191cb,19,1,2,1,6,7,2
621e326767b776a24012e179,14,0,0,1,6,6,1
621e328667b776a240281372,8,1,1,1,2,2,1
621e329067b776a2402ffad2,28,1,4,1,9,9,4
621e32af67b776a24045b4cf,24,1,2,1,9,9,2
621e32d067b776a2405b7d54,5,1,1,1,0,1,1
621e32d967b776a240627414,17,1,1,1,7,6,1
621e32e667b776a2406d2f1c,11,0,1,1,4,4,1
621e331067b776a24085dd3f,22,1,2,1,8,8,2
621e332267b776a24092a584,6,1,1,1,1,1,1
621e333567b776a240a0c217,6,1,1,1,1,1,1
621e333967b776a240a3cd06,6,1,1,1,1,1,1
621e335a67b776a240bb12ff,23,1,2,1,8,9,2
621e337667b776a240ce78ab,10,1,2,1,2,2,2
621e339967b776a240e502de,22,1,2,1,8,8,2
621e33b067b776a240f39e56,21,1,2,1,7,7,3
621e33cf67b776a240087de9,19,1,2,1,6,6,3
621e33ed67b776a2401cf5f7,13,1,2,1,4,3,2
621e341067b776a24037b105,22,1,2,1,8,8,2
621e342e67b776a2404ce460,1,0,0,1,0,0,0
621e345c67b776a2407146a8,2,0,1,0,0,0,1
621e346f67b776a24081744f,12,1,1,1,4,3,2
621e34ca67b776a240be3b69,1,0,0,1,0,0,0
621e34db67b776a240c9c2be,16,1,2,1,5,5,2
621e34ec67b776a240d60873,6,1,1,1,1,1,1
621e34f767b776a240de4e1a,35,1,3,1,13,14,3
621e34ff67b776a240e446d6,1,0,0,1,0,0,0
621e351a67b776a240f6204b,9,0,1,1,3,3,1
621e356967b776a24027bd9f,14,1,2,1,4,4,2
621e360b67b776a24039709f,16,1,2,1,5,5,2
621e362467b776a2404ad513,15,1,2,1,4,5,2
621e366567b776a24076a727,19,1,2,1,6,7,2
621e367e67b776a24087d75d,18,1,2,1,6,6,2
621e36bb67b776a240b40d64,2,1,0,1,0,0,0
621e36c267b776a240ba2756,12,1,1,1,4,4,1
621e36dd67b776a240ce9a45,2,1,0,1,0,0,0
621e36f967b776a240e5e7c9,22,1,2,1,8,8,2
621e375367b776a24021e950,6,0,0,1,2,3,0
621e375b67b776a240290cdc,15,1,2,1,4,5,2
