model_name,window,max_epochs,batch_size,learning_rate,weight_decay,patience,seed,epoch,train_loss,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_average_precision,validation_roc_auc,validation_tn,validation_fp,validation_fn,validation_tp
BiLSTM,7,40,64,0.001,0.0001,6,42,1,0.7907292138446461,0.7866366028785705,0.5576208178438662,0.6234228498668828,0.46919431279620855,0.9339622641509434,0.6246056782334385,0.6102076552936848,0.7316240305590925,51,112,7,99
BiLSTM,7,40,64,0.001,0.0001,6,42,2,0.7038410956209357,0.7472330331802368,0.6282527881040892,0.6685090866998495,0.5170454545454546,0.8584905660377359,0.6453900709219859,0.6103600048923697,0.7425049195508739,78,85,15,91
BiLSTM,7,40,64,0.001,0.0001,6,42,3,0.6403951401060278,0.7227137207984924,0.620817843866171,0.6376316703322144,0.5135135135135135,0.7169811320754716,0.5984251968503937,0.5850702492593862,0.7019909711772195,91,72,30,76
BiLSTM,7,40,64,0.001,0.0001,6,42,4,0.5996954034675251,0.711386239528656,0.6356877323420075,0.6746440560250029,0.5229885057471264,0.8584905660377359,0.65,0.6257882054194754,0.7510128487093414,80,83,15,91
BiLSTM,7,40,64,0.001,0.0001,6,42,5,0.5596191381866281,0.7231736183166504,0.6171003717472119,0.6642551221206159,0.5081081081081081,0.8867924528301887,0.6460481099656358,0.6407393824393801,0.7724852413473782,72,91,12,94
BiLSTM,7,40,64,0.001,0.0001,6,42,6,0.5291101648048921,0.7271532773971557,0.620817843866171,0.67062159972219,0.5106382978723404,0.9056603773584906,0.6530612244897959,0.6606704520191112,0.7859127213797893,71,92,10,96
BiLSTM,7,40,64,0.001,0.0001,6,42,7,0.4940695423971523,0.7580337524414062,0.6356877323420075,0.6845410348419956,0.521505376344086,0.9150943396226415,0.6643835616438356,0.681105593485597,0.7944206505382567,74,89,9,97
BiLSTM,7,40,64,0.001,0.0001,6,42,8,0.4623718004335057,0.6423471570014954,0.7286245353159851,0.7546301655284177,0.6078431372549019,0.8773584905660378,0.7181467181467182,0.6592128106285187,0.7893274684569973,103,60,13,93
BiLSTM,7,40,64,0.001,0.0001,6,42,9,0.43376094509254803,0.6292825996875763,0.7434944237918215,0.7652506077092256,0.6258503401360545,0.8679245283018868,0.7272727272727273,0.6908834460728082,0.8011343905544623,108,55,14,92
BiLSTM,7,40,64,0.001,0.0001,6,42,10,0.3933411348949779,0.6985845744609833,0.6877323420074349,0.7241868271790717,0.5654761904761905,0.8962264150943396,0.6934306569343066,0.719159657707587,0.8231855538835514,90,73,11,95
BiLSTM,7,40,64,0.001,0.0001,6,42,11,0.3582906126976013,0.6363243162631989,0.724907063197026,0.751562680865841,0.6038961038961039,0.8773584905660378,0.7153846153846154,0.7166204527512623,0.8187290195624495,102,61,13,93
BiLSTM,7,40,64,0.001,0.0001,6,42,12,0.3385312401435592,0.7316236197948456,0.6877323420074349,0.7258363236485704,0.5647058823529412,0.9056603773584906,0.6956521739130435,0.7248756587750574,0.8212756106030791,89,74,10,96
BiLSTM,7,40,64,0.001,0.0001,6,42,13,0.31756269999525766,0.7340356886386872,0.6988847583643123,0.738337770575298,0.5730994152046783,0.9245283018867925,0.7075812274368231,0.7480518733576766,0.8359474476212525,90,73,8,98
BiLSTM,7,40,64,0.001,0.0001,6,42,14,0.30186996202577243,0.701628315448761,0.6951672862453532,0.7253733070957287,0.575,0.8679245283018868,0.6917293233082706,0.7489763925232462,0.8272369487209169,95,68,14,92
BiLSTM,7,40,64,0.001,0.0001,6,42,15,0.2708828740499236,0.6335089445114136,0.7472118959107806,0.7650190994328048,0.6338028169014085,0.8490566037735849,0.7258064516129032,0.7247319227323124,0.8216807500868156,111,52,16,90
