model_name,window,max_epochs,batch_size,learning_rate,weight_decay,patience,seed,epoch,train_loss,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_average_precision,validation_roc_auc,validation_tn,validation_fp,validation_fn,validation_tp
GRU,14,40,64,0.001,0.0001,6,42,1,0.8448965152104696,0.8070598045984904,0.589041095890411,0.6705882352941177,0.45714285714285713,0.9411764705882353,0.6153846153846154,0.5569427608763624,0.7721362229102167,38,57,3,48
GRU,14,40,64,0.001,0.0001,6,42,2,0.7727148771286011,0.755312959353129,0.636986301369863,0.7074303405572755,0.4897959183673469,0.9411764705882353,0.6442953020134228,0.5811858389836811,0.7795665634674923,45,50,3,48
GRU,14,40,64,0.001,0.0001,6,42,3,0.7106826027234395,0.7299801905949911,0.678082191780822,0.7299277605779153,0.5227272727272727,0.9019607843137255,0.6618705035971223,0.5908443634176724,0.7797729618163055,53,42,5,46
GRU,14,40,64,0.001,0.0001,6,42,4,0.6653738737106323,0.7025567690531412,0.7328767123287672,0.7674922600619195,0.5769230769230769,0.8823529411764706,0.6976744186046512,0.5927005373569902,0.7785345717234262,62,33,6,45
GRU,14,40,64,0.001,0.0001,6,42,5,0.6392709573109945,0.6768385569254557,0.6712328767123288,0.7337461300309598,0.5161290322580645,0.9411764705882353,0.6666666666666666,0.6047025182087085,0.7911248710010319,50,45,3,48
GRU,14,40,64,0.001,0.0001,6,42,6,0.6154317498207093,0.6839721401532491,0.7191780821917808,0.7569659442724458,0.5625,0.8823529411764706,0.6870229007633588,0.6107886840046057,0.7938080495356037,60,35,6,45
GRU,14,40,64,0.001,0.0001,6,42,7,0.585118156671524,0.7141230901082357,0.678082191780822,0.6618163054695563,0.5344827586206896,0.6078431372549019,0.5688073394495413,0.6014685874201378,0.7805985552115583,68,27,20,31
GRU,14,40,64,0.001,0.0001,6,42,8,0.5745514889558156,0.6729972759882609,0.7123287671232876,0.7380804953560371,0.56,0.8235294117647058,0.6666666666666666,0.6227590171100673,0.7983488132094942,62,33,9,42
GRU,14,40,64,0.001,0.0001,6,42,9,0.5525554259618123,0.6956821282704672,0.7123287671232876,0.7244582043343653,0.5652173913043478,0.7647058823529411,0.65,0.6179872795374689,0.8,65,30,12,39
GRU,14,40,64,0.001,0.0001,6,42,10,0.5306614359219869,0.677732010682424,0.7054794520547946,0.7191950464396284,0.5571428571428572,0.7647058823529411,0.6446280991735537,0.6206758335382124,0.7993808049535603,64,31,12,39
GRU,14,40,64,0.001,0.0001,6,42,11,0.5059309363365173,0.6653920610745748,0.7191780821917808,0.7251805985552116,0.5757575757575758,0.7450980392156863,0.6495726495726496,0.6402593853233676,0.8084623323013416,67,28,13,38
GRU,14,40,64,0.001,0.0001,6,42,12,0.48777411778767904,0.6650545299053192,0.6986301369863014,0.7003095975232199,0.5538461538461539,0.7058823529411765,0.6206896551724138,0.6381371866793346,0.8109391124871002,66,29,15,36
GRU,14,40,64,0.001,0.0001,6,42,13,0.4578966120878855,0.6415273447831472,0.7465753424657534,0.7825593395252838,0.5897435897435898,0.9019607843137255,0.7131782945736435,0.6660992830777404,0.8326109391124872,63,32,5,46
GRU,14,40,64,0.001,0.0001,6,42,14,0.4338128109773,0.6455117265383402,0.7465753424657534,0.7825593395252838,0.5897435897435898,0.9019607843137255,0.7131782945736435,0.66709248776138,0.83343653250774,63,32,5,46
GRU,14,40,64,0.001,0.0001,6,42,15,0.41891974409421284,0.6293966174125671,0.7534246575342466,0.7878224974200206,0.5974025974025974,0.9019607843137255,0.71875,0.6911973820373035,0.8443756449948401,64,31,5,46
