model_name,window,max_epochs,batch_size,learning_rate,weight_decay,patience,seed,epoch,train_loss,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_average_precision,validation_roc_auc,validation_tn,validation_fp,validation_fn,validation_tp
LSTM,30,40,64,0.001,0.0001,6,42,1,0.8921284420149667,0.7980886101722717,0.7454545454545455,0.8333333333333333,0.48148148148148145,1.0,0.65,0.5060674232974056,0.8461538461538461,28,14,0,13
LSTM,30,40,64,0.001,0.0001,6,42,2,0.843922998223986,0.7847123742103577,0.7636363636363637,0.8452380952380952,0.5,1.0,0.6666666666666666,0.5148909665214013,0.8534798534798536,29,13,0,13
LSTM,30,40,64,0.001,0.0001,6,42,3,0.8038527880396161,0.7618078589439392,0.7818181818181819,0.8571428571428572,0.52,1.0,0.6842105263157895,0.5290506260251903,0.8571428571428572,30,12,0,13
LSTM,30,40,64,0.001,0.0001,6,42,4,0.763311539377485,0.723530113697052,0.8,0.8690476190476191,0.5416666666666666,1.0,0.7027027027027027,0.5712632148441141,0.8589743589743589,31,11,0,13
LSTM,30,40,64,0.001,0.0001,6,42,5,0.7270374638693673,0.7001007199287415,0.8,0.8690476190476191,0.5416666666666666,1.0,0.7027027027027027,0.5336035696329814,0.858974358974359,31,11,0,13
LSTM,30,40,64,0.001,0.0001,6,42,6,0.7072909644671849,0.6946895718574524,0.7818181818181819,0.8571428571428572,0.52,1.0,0.6842105263157895,0.5246740376265263,0.8608058608058609,30,12,0,13
LSTM,30,40,64,0.001,0.0001,6,42,7,0.6882460457938058,0.6627086997032166,0.8,0.8690476190476191,0.5416666666666666,1.0,0.7027027027027027,0.5826958179155131,0.8754578754578755,31,11,0,13
LSTM,30,40,64,0.001,0.0001,6,42,8,0.6690031034605843,0.648124098777771,0.7818181818181819,0.8571428571428572,0.52,1.0,0.6842105263157895,0.5915937081752959,0.8846153846153846,30,12,0,13
LSTM,30,40,64,0.001,0.0001,6,42,9,0.648746166910444,0.6343932151794434,0.7818181818181819,0.8571428571428572,0.52,1.0,0.6842105263157895,0.5947988363804241,0.8864468864468864,30,12,0,13
LSTM,30,40,64,0.001,0.0001,6,42,10,0.6356500131743295,0.6313408613204956,0.7818181818181819,0.8571428571428572,0.52,1.0,0.6842105263157895,0.62239949658978,0.8974358974358974,30,12,0,13
