model_name,window,max_epochs,batch_size,learning_rate,weight_decay,patience,seed,split,accuracy,balanced_accuracy,precision,recall,f1,average_precision,roc_auc,tn,fp,fn,tp
mlp_current_day,7,40,64,0.001,0.0001,6,42,validation,0.7620817843866171,0.7822375274916078,0.6458333333333334,0.8773584905660378,0.744,0.7909484130708154,0.8656094455376779,112,51,13,93
mlp_current_day,7,40,64,0.001,0.0001,6,42,test,0.6464968152866242,0.6346986346986347,0.5826771653543307,0.5606060606060606,0.5714285714285714,0.6136005030003786,0.6447718947718947,129,53,58,74
mlp_flattened,7,40,64,0.001,0.0001,6,42,validation,0.587360594795539,0.5852818613265425,0.48031496062992124,0.5754716981132075,0.5236051502145923,0.6110334897757639,0.6982289616853802,97,66,45,61
mlp_flattened,7,40,64,0.001,0.0001,6,42,test,0.5764331210191083,0.5513653013653014,0.49523809523809526,0.3939393939393939,0.4388185654008439,0.4945512566526866,0.5407092907092907,129,53,80,52
SimpleRNN,7,40,64,0.001,0.0001,6,42,validation,0.6877323420074349,0.6878979048500984,0.5887096774193549,0.6886792452830188,0.6347826086956522,0.7032831493532167,0.7787359648107419,112,51,33,73
SimpleRNN,7,40,64,0.001,0.0001,6,42,test,0.6369426751592356,0.6098068598068598,0.5918367346938775,0.4393939393939394,0.5043478260869565,0.6034897695443331,0.6854395604395604,142,40,74,58
LSTM,7,40,64,0.001,0.0001,6,42,validation,0.6951672862453532,0.7055793494617433,0.5882352941176471,0.7547169811320755,0.6611570247933884,0.6585066603263875,0.7694177566848015,107,56,26,80
LSTM,7,40,64,0.001,0.0001,6,42,test,0.5828025477707006,0.5308441558441558,0.5094339622641509,0.20454545454545456,0.2918918918918919,0.5221134282245227,0.5746336996336996,156,26,105,27
GRU,7,40,64,0.001,0.0001,6,42,validation,0.7211895910780669,0.7122062738742909,0.6396396396396397,0.6698113207547169,0.6543778801843319,0.6825838247394103,0.7969093645097812,123,40,35,71
GRU,7,40,64,0.001,0.0001,6,42,test,0.6719745222929936,0.6462703962703963,0.6464646464646465,0.48484848484848486,0.5541125541125541,0.6661092105808295,0.7333916083916083,147,35,68,64
BiLSTM,7,40,64,0.001,0.0001,6,42,validation,0.7434944237918215,0.7652506077092256,0.6258503401360545,0.8679245283018868,0.7272727272727273,0.6908834460728082,0.8011343905544623,108,55,14,92
BiLSTM,7,40,64,0.001,0.0001,6,42,test,0.6242038216560509,0.579045954045954,0.609375,0.29545454545454547,0.3979591836734694,0.5443764191869012,0.5892440892440893,157,25,93,39
CNN1D,7,40,64,0.001,0.0001,6,42,validation,0.7360594795539034,0.7261257089940965,0.6605504587155964,0.6792452830188679,0.6697674418604651,0.6938650045009188,0.8074429910869314,126,37,34,72
