model_name,window,max_epochs,batch_size,learning_rate,weight_decay,patience,seed,epoch,train_loss,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_average_precision,validation_roc_auc,validation_tn,validation_fp,validation_fn,validation_tp
mlp_flattened,30,40,64,0.001,0.0001,6,42,1,0.8817980289459229,0.8611348867416382,0.34545454545454546,0.5714285714285714,0.2653061224489796,1.0,0.41935483870967744,0.5152328190524478,0.7820512820512822,6,36,0,13
mlp_flattened,30,40,64,0.001,0.0001,6,42,2,0.8004939556121826,0.8340879082679749,0.5454545454545454,0.6758241758241759,0.3333333333333333,0.9230769230769231,0.4897959183673469,0.600833585507071,0.8058608058608059,18,24,1,12
mlp_flattened,30,40,64,0.001,0.0001,6,42,3,0.7386108892304557,0.8615915179252625,0.34545454545454546,0.5448717948717949,0.2553191489361702,0.9230769230769231,0.4,0.5405487770257591,0.7032967032967032,7,35,1,12
mlp_flattened,30,40,64,0.001,0.0001,6,42,4,0.6873531000954765,0.7993108630180359,0.6909090909090909,0.6913919413919414,0.4090909090909091,0.6923076923076923,0.5142857142857142,0.5418662234451708,0.7032967032967034,29,13,4,9
mlp_flattened,30,40,64,0.001,0.0001,6,42,5,0.6228937804698944,0.7699897289276123,0.6545454545454545,0.6675824175824177,0.375,0.6923076923076923,0.4864864864864865,0.6308117688762849,0.7545787545787546,27,15,4,9
mlp_flattened,30,40,64,0.001,0.0001,6,42,6,0.5433349651949746,0.6960565447807312,0.7454545454545455,0.7271062271062271,0.47368421052631576,0.6923076923076923,0.5625,0.6140730408682407,0.8021978021978021,32,10,4,9
mlp_flattened,30,40,64,0.001,0.0001,6,42,7,0.4203153210026877,0.6674015522003174,0.7636363636363637,0.739010989010989,0.5,0.6923076923076923,0.5806451612903226,0.6384653235817592,0.7893772893772893,33,9,4,9
mlp_flattened,30,40,64,0.001,0.0001,6,42,8,0.33437067696026396,0.6339852809906006,0.7454545454545455,0.7005494505494505,0.47058823529411764,0.6153846153846154,0.5333333333333333,0.6337338351781159,0.8003663003663004,33,9,5,8
mlp_flattened,30,40,64,0.001,0.0001,6,42,9,0.2383976046528135,0.6286839842796326,0.7818181818181819,0.7243589743589745,0.5333333333333333,0.6153846153846154,0.5714285714285714,0.6379287379287379,0.804029304029304,35,7,5,8
mlp_flattened,30,40,64,0.001,0.0001,6,42,10,0.19454033247062139,0.7335590124130249,0.7818181818181819,0.6712454212454213,0.5454545454545454,0.46153846153846156,0.5,0.5408759172676177,0.7435897435897436,37,5,7,6
mlp_flattened,30,40,64,0.001,0.0001,6,42,11,0.1302952127797263,0.8397398591041565,0.7272727272727273,0.7152014652014652,0.45,0.6923076923076923,0.5454545454545454,0.601783020900668,0.7435897435897436,31,11,4,9
mlp_flattened,30,40,64,0.001,0.0001,6,42,12,0.09225511231592723,0.8209768533706665,0.7454545454545455,0.7005494505494505,0.47058823529411764,0.6153846153846154,0.5333333333333333,0.5322124770654183,0.7435897435897437,33,9,5,8
mlp_flattened,30,40,64,0.001,0.0001,6,42,13,0.08213899710348674,0.9214471578598022,0.7454545454545455,0.673992673992674,0.4666666666666667,0.5384615384615384,0.5,0.6221451774112943,0.8003663003663003,34,8,6,7
mlp_flattened,30,40,64,0.001,0.0001,6,42,14,0.05852923755134855,0.8098423480987549,0.7636363636363637,0.6858974358974359,0.5,0.5384615384615384,0.5185185185185185,0.5790315970579127,0.7948717948717948,35,7,6,7
mlp_flattened,30,40,64,0.001,0.0001,6,42,15,0.05337429179676941,0.9986069202423096,0.7636363636363637,0.6858974358974359,0.5,0.5384615384615384,0.5185185185185185,0.6627229416920544,0.8315018315018315,35,7,6,7
