feature,risk_group
resting_hr_resting_heart_rate_mean,medium_risk_resting_hr
resting_hr_error_mean,medium_risk_resting_hr
resting_hr_record_count,medium_risk_resting_hr
lightly_active_minutes_sum_missing_ind,medium_risk_same_date_daytime__missing_indicator
lightly_active_minutes_sum,medium_risk_same_date_daytime
moderately_active_minutes_sum_missing_ind,medium_risk_same_date_daytime__missing_indicator
moderately_active_minutes_sum,medium_risk_same_date_daytime
sedentary_minutes_sum_missing_ind,medium_risk_same_date_daytime__missing_indicator
sedentary_minutes_sum,medium_risk_same_date_daytime
very_active_minutes_sum_missing_ind,medium_risk_same_date_daytime__missing_indicator
very_active_minutes_sum,medium_risk_same_date_daytime
steps_sum_missing_ind,medium_risk_same_date_daytime__missing_indicator
steps_sum,medium_risk_same_date_daytime
steps_record_count_missing_ind,medium_risk_same_date_daytime__missing_indicator
steps_record_count,medium_risk_same_date_daytime
calories_sum_missing_ind,medium_risk_same_date_daytime__missing_indicator
calories_sum,medium_risk_same_date_daytime
calories_record_count_missing_ind,medium_risk_same_date_daytime__missing_indicator
calories_record_count,medium_risk_same_date_daytime
sema_response_count_missing_ind,medium_risk_same_date_context__missing_indicator
sema_response_count,medium_risk_same_date_context
mood_alert_count_missing_ind,medium_risk_same_date_context__missing_indicator
mood_alert_count,medium_risk_same_date_context
mood_anger_count_missing_ind,medium_risk_same_date_context__missing_indicator
mood_anger_count,medium_risk_same_date_context
mood_fear_count_missing_ind,medium_risk_same_date_context__missing_indicator
mood_fear_count,medium_risk_same_date_context
mood_happy_count_missing_ind,medium_risk_same_date_context__missing_indicator
mood_happy_count,medium_risk_same_date_context
mood_joy_count_missing_ind,medium_risk_same_date_context__missing_indicator
mood_joy_count,medium_risk_same_date_context
mood_neutral_count_missing_ind,medium_risk_same_date_context__missing_indicator
mood_neutral_count,medium_risk_same_date_context
mood_rested_relaxed_count_missing_ind,medium_risk_same_date_context__missing_indicator
mood_rested_relaxed_count,medium_risk_same_date_context
mood_sad_count_missing_ind,medium_risk_same_date_context__missing_indicator
mood_sad_count,medium_risk_same_date_context
mood_sadness_count_missing_ind,medium_risk_same_date_context__missing_indicator
mood_sadness_count,medium_risk_same_date_context
mood_surprise_count_missing_ind,medium_risk_same_date_context__missing_indicator
mood_surprise_count,medium_risk_same_date_context
mood_tense_anxious_count_missing_ind,medium_risk_same_date_context__missing_indicator
mood_tense_anxious_count,medium_risk_same_date_context
mood_tired_count_missing_ind,medium_risk_same_date_context__missing_indicator
mood_tired_count,medium_risk_same_date_context
place_entertainment_count_missing_ind,medium_risk_same_date_context__missing_indicator
place_entertainment_count,medium_risk_same_date_context
place_gym_count_missing_ind,medium_risk_same_date_context__missing_indicator
place_gym_count,medium_risk_same_date_context
place_home_count_missing_ind,medium_risk_same_date_context__missing_indicator
place_home_count,medium_risk_same_date_context
place_home_office_count_missing_ind,medium_risk_same_date_context__missing_indicator
place_home_office_count,medium_risk_same_date_context
place_other_count_missing_ind,medium_risk_same_date_context__missing_indicator
place_other_count,medium_risk_same_date_context
place_outdoors_count_missing_ind,medium_risk_same_date_context__missing_indicator
place_outdoors_count,medium_risk_same_date_context
place_transit_count_missing_ind,medium_risk_same_date_context__missing_indicator
place_transit_count,medium_risk_same_date_context
place_work_school_count_missing_ind,medium_risk_same_date_context__missing_indicator
place_work_school_count,medium_risk_same_date_context
mood_alert_rate_missing_ind,medium_risk_same_date_context__missing_indicator
mood_alert_rate,medium_risk_same_date_context
mood_anger_rate_missing_ind,medium_risk_same_date_context__missing_indicator
mood_anger_rate,medium_risk_same_date_context
mood_fear_rate_missing_ind,medium_risk_same_date_context__missing_indicator
mood_fear_rate,medium_risk_same_date_context
mood_happy_rate_missing_ind,medium_risk_same_date_context__missing_indicator
mood_happy_rate,medium_risk_same_date_context
mood_joy_rate_missing_ind,medium_risk_same_date_context__missing_indicator
mood_joy_rate,medium_risk_same_date_context
mood_neutral_rate_missing_ind,medium_risk_same_date_context__missing_indicator
mood_neutral_rate,medium_risk_same_date_context
mood_rested_relaxed_rate_missing_ind,medium_risk_same_date_context__missing_indicator
mood_rested_relaxed_rate,medium_risk_same_date_context
mood_sad_rate_missing_ind,medium_risk_same_date_context__missing_indicator
mood_sad_rate,medium_risk_same_date_context
mood_sadness_rate_missing_ind,medium_risk_same_date_context__missing_indicator
mood_sadness_rate,medium_risk_same_date_context
mood_surprise_rate_missing_ind,medium_risk_same_date_context__missing_indicator
mood_surprise_rate,medium_risk_same_date_context
mood_tense_anxious_rate_missing_ind,medium_risk_same_date_context__missing_indicator
mood_tense_anxious_rate,medium_risk_same_date_context
mood_tired_rate_missing_ind,medium_risk_same_date_context__missing_indicator
mood_tired_rate,medium_risk_same_date_context
place_entertainment_rate_missing_ind,medium_risk_same_date_context__missing_indicator
place_entertainment_rate,medium_risk_same_date_context
place_gym_rate_missing_ind,medium_risk_same_date_context__missing_indicator
place_gym_rate,medium_risk_same_date_context
place_home_rate_missing_ind,medium_risk_same_date_context__missing_indicator
place_home_rate,medium_risk_same_date_context
place_home_office_rate_missing_ind,medium_risk_same_date_context__missing_indicator
place_home_office_rate,medium_risk_same_date_context
place_other_rate_missing_ind,medium_risk_same_date_context__missing_indicator
