feature,risk_group
resting_hr_resting_heart_rate_mean,medium_risk_resting_hr
resting_hr_error_mean,medium_risk_resting_hr
resting_hr_record_count,medium_risk_resting_hr
lightly_active_minutes_sum_missing_ind,medium_risk_same_date_daytime__missing_indicator
lightly_active_minutes_sum,medium_risk_same_date_daytime
moderately_active_minutes_sum_missing_ind,medium_risk_same_date_daytime__missing_indicator
moderately_active_minutes_sum,medium_risk_same_date_daytime
sedentary_minutes_sum_missing_ind,medium_risk_same_date_daytime__missing_indicator
sedentary_minutes_sum,medium_risk_same_date_daytime
very_active_minutes_sum_missing_ind,medium_risk_same_date_daytime__missing_indicator
very_active_minutes_sum,medium_risk_same_date_daytime
steps_sum_missing_ind,medium_risk_same_date_daytime__missing_indicator
steps_sum,medium_risk_same_date_daytime
steps_record_count_missing_ind,medium_risk_same_date_daytime__missing_indicator
steps_record_count,medium_risk_same_date_daytime
calories_sum_missing_ind,medium_risk_same_date_daytime__missing_indicator
calories_sum,medium_risk_same_date_daytime
calories_record_count_missing_ind,medium_risk_same_date_daytime__missing_indicator
calories_record_count,medium_risk_same_date_daytime
