experiment_id,subset_name,window,model_family,split,best_epoch,input_key,input_shape,threshold,accuracy,balanced_accuracy,f1,precision,recall,positive_prediction_rate,target_positive_rate,roc_auc,average_precision,tn,fp,fn,tp
phase2a_000,daytime_only,7,mlp_current_day,validation,1,X_mlp_current_day,"(19,)",0.5,0.5959183673469388,0.6049658994032395,0.543778801843318,0.472,0.6413043478260869,0.5102040816326531,0.37551020408163266,0.6171497584541062,0.45471250337265473,87,66,33,59
phase2a_000,daytime_only,7,mlp_current_day,test,1,X_mlp_current_day,"(19,)",0.5,0.6047297297297297,0.592532543822548,0.5224489795918368,0.5245901639344263,0.5203252032520326,0.41216216216216217,0.4155405405405405,0.6030358569481649,0.5263308418299935,115,58,59,64
phase2a_001,daytime_only,7,gru,validation,5,X_sequence,"(7, 19)",0.5,0.6244897959183674,0.604006820119352,0.5106382978723404,0.5,0.5217391304347826,0.39183673469387753,0.37551020408163266,0.6803779482807616,0.500064032584447,105,48,44,48
phase2a_001,daytime_only,7,gru,test,5,X_sequence,"(7, 19)",0.5,0.5641891891891891,0.5390525870576626,0.4266666666666667,0.47058823529411764,0.3902439024390244,0.34459459459459457,0.4155405405405405,0.607500352460172,0.5058733261979782,119,54,75,48
phase2a_002,daytime_only,7,bilstm,validation,1,X_sequence,"(7, 19)",0.5,0.6448979591836734,0.6528488206876955,0.5915492957746479,0.5206611570247934,0.6847826086956522,0.49387755102040815,0.37551020408163266,0.6894003978402956,0.5218045691516946,95,58,29,63
phase2a_002,daytime_only,7,bilstm,test,1,X_sequence,"(7, 19)",0.5,0.5945945945945946,0.5779876873913248,0.4957983193277311,0.5130434782608696,0.4796747967479675,0.3885135135135135,0.4155405405405405,0.5880445509657409,0.522883855674368,117,56,64,59
phase2a_003,daytime_only,7,cnn_1d,validation,2,X_sequence,"(7, 19)",0.5,0.6163265306122448,0.6104717249218528,0.5346534653465347,0.4909090909090909,0.5869565217391305,0.4489795918367347,0.37551020408163266,0.6464194373401535,0.5030876496614294,97,56,38,54
phase2a_003,daytime_only,7,cnn_1d,test,2,X_sequence,"(7, 19)",0.5,0.5912162162162162,0.6173927346209878,0.6109324758842444,0.5053191489361702,0.7723577235772358,0.6351351351351351,0.4155405405405405,0.628647962780206,0.5169379491264607,80,93,28,95
phase2a_004,daytime_only,14,mlp_current_day,validation,1,X_mlp_current_day,"(19,)",0.5,0.6102941176470589,0.6041666666666667,0.5137614678899083,0.45901639344262296,0.5833333333333334,0.4485294117647059,0.35294117647058826,0.6640625,0.5253404073941159,55,33,20,28
phase2a_004,daytime_only,14,mlp_current_day,test,1,X_mlp_current_day,"(19,)",0.5,0.558252427184466,0.5485198146221508,0.4484848484848485,0.5441176470588235,0.38144329896907214,0.3300970873786408,0.470873786407767,0.5585926416343516,0.5142585867370231,78,31,60,37
phase2a_005,daytime_only,14,gru,validation,5,X_sequence,"(14, 19)",0.5,0.6985294117647058,0.6628787878787878,0.5591397849462365,0.5777777777777777,0.5416666666666666,0.33088235294117646,0.35294117647058826,0.7713068181818182,0.5548773353003765,69,19,22,26
phase2a_005,daytime_only,14,gru,test,5,X_sequence,"(14, 19)",0.5,0.5388349514563107,0.5296037075569848,0.4311377245508982,0.5142857142857142,0.3711340206185567,0.33980582524271846,0.470873786407767,0.5649295375011822,0.5265776458590148,75,34,61,36
phase2a_006,daytime_only,14,bilstm,validation,1,X_sequence,"(14, 19)",0.5,0.6911764705882353,0.699810606060606,0.625,0.546875,0.7291666666666666,0.47058823529411764,0.35294117647058826,0.7062026515151515,0.5346364597142178,59,29,13,35
phase2a_006,daytime_only,14,bilstm,test,1,X_sequence,"(14, 19)",0.5,0.587378640776699,0.5868249314291119,0.5685279187817259,0.56,0.5773195876288659,0.4854368932038835,0.470873786407767,0.60626123143857,0.5787991273740039,65,44,41,56
phase2a_007,daytime_only,14,cnn_1d,validation,2,X_sequence,"(14, 19)",0.5,0.7426470588235294,0.7111742424242424,0.6236559139784946,0.6444444444444445,0.6041666666666666,0.33088235294117646,0.35294117647058826,0.7599431818181819,0.5678973064840247,72,16,19,29
phase2a_007,daytime_only,14,cnn_1d,test,2,X_sequence,"(14, 19)",0.5,0.5776699029126213,0.5674359216873167,0.4662576687116564,0.5757575757575758,0.3917525773195876,0.32038834951456313,0.470873786407767,0.5540527759387117,0.5566596113691558,81,28,59,38
phase2a_008,no_high_sleep_session,7,mlp_current_day,validation,3,X_mlp_current_day,"(127,)",0.5,0.6408163265306123,0.6430804205740267,0.5769230769230769,0.5172413793103449,0.6521739130434783,0.47346938775510206,0.37551020408163266,0.68307757885763,0.5303976845092511,97,56,32,60
phase2a_008,no_high_sleep_session,7,mlp_current_day,test,3,X_mlp_current_day,"(127,)",0.5,0.5675675675675675,0.5395930259880634,0.41818181818181815,0.4742268041237113,0.37398373983739835,0.3277027027027027,0.4155405405405405,0.5563231354856901,0.4595478821710426,122,51,77,46
phase2a_009,no_high_sleep_session,7,gru,validation,1,X_sequence,"(7, 127)",0.5,0.6122448979591837,0.6202046035805626,0.5581395348837209,0.4878048780487805,0.6521739130434783,0.5020408163265306,0.37551020408163266,0.6751207729468599,0.5043778632862043,90,63,32,60
phase2a_009,no_high_sleep_session,7,gru,test,1,X_sequence,"(7, 127)",0.5,0.5743243243243243,0.5441985055688707,0.4166666666666667,0.4838709677419355,0.36585365853658536,0.3141891891891892,0.4155405405405405,0.5334837163400536,0.47705716948125254,125,48,78,45
phase2a_010,no_high_sleep_session,7,bilstm,validation,2,X_sequence,"(7, 127)",0.5,0.636734693877551,0.6658141517476557,0.6180257510729614,0.5106382978723404,0.782608695652174,0.5755102040816327,0.37551020408163266,0.6955100880932082,0.549065554603779,84,69,20,72
phase2a_010,no_high_sleep_session,7,bilstm,test,2,X_sequence,"(7, 127)",0.5,0.5506756756756757,0.5392405658160628,0.46586345381526106,0.4603174603174603,0.4715447154471545,0.42567567567567566,0.4155405405405405,0.5660510362329056,0.4381081824696418,105,68,65,58
