experiment_id,subset_name,window,model_family,split,selected_threshold_from_validation,threshold,accuracy,balanced_accuracy,f1,precision,recall,positive_prediction_rate,target_positive_rate,roc_auc,average_precision,tn,fp,fn,tp
phase2a_000,daytime_only,7,mlp_current_day,validation,0.47,0.47,0.6,0.6299019607843137,0.5847457627118644,0.4791666666666667,0.75,0.5877551020408164,0.37551020408163266,0.6171497584541062,0.45471250337265473,78,75,23,69
phase2a_000,daytime_only,7,mlp_current_day,test,0.47,0.47,0.5675675675675675,0.5760139104281217,0.5460992907801419,0.48427672955974843,0.6260162601626016,0.5371621621621622,0.4155405405405405,0.6030358569481649,0.5263308418299935,91,82,46,77
phase2a_001,daytime_only,7,gru,validation,0.35,0.35,0.6448979591836734,0.685350951974993,0.6419753086419753,0.5165562913907285,0.8478260869565217,0.6163265306122448,0.37551020408163266,0.6803779482807616,0.500064032584447,80,73,14,78
phase2a_001,daytime_only,7,gru,test,0.35,0.35,0.5574324324324325,0.5790920625969265,0.5704918032786885,0.47802197802197804,0.7073170731707317,0.6148648648648649,0.4155405405405405,0.607500352460172,0.5058733261979782,78,95,36,87
phase2a_002,daytime_only,7,bilstm,validation,0.49,0.49,0.6408163265306123,0.6604148905939187,0.6071428571428571,0.5151515151515151,0.7391304347826086,0.5387755102040817,0.37551020408163266,0.6894003978402956,0.5218045691516946,89,64,24,68
phase2a_002,daytime_only,7,bilstm,test,0.49,0.49,0.5844594594594594,0.5704920344001128,0.49382716049382713,0.5,0.4878048780487805,0.40540540540540543,0.4155405405405405,0.5880445509657409,0.522883855674368,113,60,63,60
phase2a_003,daytime_only,7,cnn_1d,validation,0.39,0.39,0.5469387755102041,0.6264208581983518,0.6105263157894737,0.45077720207253885,0.9456521739130435,0.7877551020408163,0.37551020408163266,0.6464194373401535,0.5030876496614294,47,106,5,87
phase2a_003,daytime_only,7,cnn_1d,test,0.39,0.39,0.4831081081081081,0.5472296630480756,0.5984251968503937,0.4418604651162791,0.926829268292683,0.8716216216216216,0.4155405405405405,0.628647962780206,0.5169379491264607,29,144,9,114
phase2a_004,daytime_only,14,mlp_current_day,validation,0.45,0.45,0.5588235294117647,0.6354166666666667,0.589041095890411,0.4387755102040816,0.8958333333333334,0.7205882352941176,0.35294117647058826,0.6640625,0.5253404073941159,33,55,5,43
phase2a_004,daytime_only,14,mlp_current_day,test,0.45,0.45,0.5339805825242718,0.5437434975881964,0.5897435897435898,0.5036496350364964,0.711340206185567,0.6650485436893204,0.470873786407767,0.5585926416343516,0.5142585867370231,41,68,28,69
phase2a_005,daytime_only,14,gru,validation,0.28,0.28,0.7352941176470589,0.78125,0.7142857142857143,0.5769230769230769,0.9375,0.5735294117647058,0.35294117647058826,0.7713068181818182,0.5548773353003765,55,33,3,45
phase2a_005,daytime_only,14,gru,test,0.28,0.28,0.49514563106796117,0.5110186323654592,0.59375,0.4779874213836478,0.7835051546391752,0.7718446601941747,0.470873786407767,0.5649295375011822,0.5265776458590148,26,83,21,76
phase2a_006,daytime_only,14,bilstm,validation,0.51,0.51,0.7205882352941176,0.7178030303030303,0.6415094339622641,0.5862068965517241,0.7083333333333334,0.4264705882352941,0.35294117647058826,0.7062026515151515,0.5346364597142178,64,24,14,34
