feature_timing,subset_name,split,experiments,mean_balanced_accuracy,max_balanced_accuracy,mean_roc_auc,max_roc_auc,mean_f1,max_f1
previous_day,daytime_only,test,8,0.5577013023729491,0.6097607112456256,0.5888831137083874,0.628647962780206,0.5685399933911934,0.5984251968503937
previous_day,daytime_only,validation,8,0.6865300220878865,0.78125,0.6918578366788086,0.7713068181818182,0.6347188848235618,0.7142857142857143
previous_day,no_high_sleep_session,test,8,0.47717730712801343,0.5486395037360778,0.48709207932708937,0.5660510362329056,0.4596911949528818,0.5333333333333333
previous_day,no_high_sleep_session,validation,8,0.7104821795318917,0.762310606060606,0.7307319064607067,0.7807765151515151,0.6581850328087104,0.6949152542372882
same_date,daytime_only,test,12,0.7635069690252129,0.843989343989344,0.844956652659425,0.9046786546786548,0.785882885221076,0.8529411764705882
same_date,daytime_only,validation,12,0.8819464760556565,0.9523809523809524,0.9009942021882259,0.9798534798534798,0.8210605992861196,0.8666666666666667
same_date,full_current,test,12,0.5941285153537416,0.729020979020979,0.6522031495646744,0.8114004222378607,0.5288180831197055,0.6931407942238267
same_date,full_current,validation,12,0.8319443855088874,0.9285714285714286,0.8712653584853222,0.9505494505494506,0.750658158357988,0.8269230769230769
same_date,no_high_sleep_session,test,12,0.6671213936615185,0.814567206192822,0.7252637573801223,0.8782547501759325,0.6816972472509436,0.8292682926829268
same_date,no_high_sleep_session,validation,12,0.858179739952916,0.9285714285714286,0.8838321879120553,0.9304029304029304,0.7797233683794834,0.8380952380952381
