feature_timing,experiment_id,label,threshold,participants,test_rows,metric,original_value,bootstrap_mean,ci_lower_2_5,ci_upper_97_5
same_date,phase1a_003,best_same_date_daytime_only_mlp_w7,0.42,9,314,balanced_accuracy,0.843989343989344,0.848589360591623,0.8042186208540341,0.8924018604587953
same_date,phase1a_003,best_same_date_daytime_only_mlp_w7,0.42,9,314,roc_auc,0.9022644022644022,0.9064276623091848,0.8482523212438684,0.9462648638674758
same_date,phase1a_003,best_same_date_daytime_only_mlp_w7,0.42,9,314,average_precision,0.8402316715359385,0.8305777213444852,0.5849701167211159,0.93707408672637
same_date,phase1a_003,best_same_date_daytime_only_mlp_w7,0.42,9,314,f1,0.8215488215488216,0.8133457183141464,0.6583275098998369,0.8925243299606087
same_date,phase1a_003,best_same_date_daytime_only_mlp_w7,0.42,9,314,precision,0.7393939393939394,0.7321418073791095,0.5,0.8827641232575202
same_date,phase1a_003,best_same_date_daytime_only_mlp_w7,0.42,9,314,recall,0.9242424242424242,0.9287170105917479,0.8703502415458937,0.9886600378787879
same_date,phase1a_002,same_date_daytime_only_gru_w7,0.34,9,314,balanced_accuracy,0.8316683316683318,0.8349611497247466,0.7885724973126864,0.8858764037684382
same_date,phase1a_002,same_date_daytime_only_gru_w7,0.34,9,314,roc_auc,0.9046786546786547,0.9096289183746141,0.8670728018851223,0.95419213604607
same_date,phase1a_002,same_date_daytime_only_gru_w7,0.34,9,314,average_precision,0.8381412511453653,0.8360852678858873,0.680835063807862,0.9440666107239771
same_date,phase1a_002,same_date_daytime_only_gru_w7,0.34,9,314,f1,0.8102893890675241,0.7971392353084069,0.6196798975672214,0.8878281622911695
same_date,phase1a_002,same_date_daytime_only_gru_w7,0.34,9,314,precision,0.7039106145251397,0.6908835614272102,0.4582386363636364,0.8333333333333334
same_date,phase1a_002,same_date_daytime_only_gru_w7,0.34,9,314,recall,0.9545454545454546,0.9568671411595137,0.9329881191853155,0.98863955566905
same_date,phase1a_007,same_date_daytime_only_mlp_w14,0.43,5,214,balanced_accuracy,0.8290816326530612,0.830453709286811,0.7804685936064591,0.8729676888248611
same_date,phase1a_007,same_date_daytime_only_mlp_w14,0.43,5,214,roc_auc,0.8771991555242787,0.8817975206550992,0.7918634469010511,0.9429083461341525
same_date,phase1a_007,same_date_daytime_only_mlp_w14,0.43,5,214,average_precision,0.8336635636640963,0.8242582825537197,0.5261520260278024,0.9577222355793735
same_date,phase1a_007,same_date_daytime_only_mlp_w14,0.43,5,214,f1,0.8240740740740741,0.8063766940410122,0.574468085106383,0.8972954249076287
same_date,phase1a_007,same_date_daytime_only_mlp_w14,0.43,5,214,precision,0.7542372881355932,0.7375412724900583,0.42857142857142855,0.89375
same_date,phase1a_007,same_date_daytime_only_mlp_w14,0.43,5,214,recall,0.9081632653061225,0.9043881420914097,0.8297872340425532,0.9803921568627451
previous_day,phase2a_006,best_previous_day_daytime_only_bilstm_w14,0.51,5,206,balanced_accuracy,0.6097607112456256,0.5871368875071262,0.47582205029013536,0.7413333333333333
previous_day,phase2a_006,best_previous_day_daytime_only_bilstm_w14,0.51,5,206,roc_auc,0.60626123143857,0.5719985048166273,0.39124318621417264,0.7655466666666666
previous_day,phase2a_006,best_previous_day_daytime_only_bilstm_w14,0.51,5,206,average_precision,0.5787991273740039,0.5453610889101144,0.1924148857697416,0.6495959382315877
previous_day,phase2a_006,best_previous_day_daytime_only_bilstm_w14,0.51,5,206,f1,0.5833333333333334,0.5317975380239706,0.06666666666666667,0.7155425219941349
previous_day,phase2a_006,best_previous_day_daytime_only_bilstm_w14,0.51,5,206,precision,0.5894736842105263,0.5502352328094742,0.15384615384615385,0.6530612244897959
previous_day,phase2a_006,best_previous_day_daytime_only_bilstm_w14,0.51,5,206,recall,0.5773195876288659,0.543722815172063,0.0425531914893617,0.9333333333333333
