experiment_id,feature_timing,subset_name,model_family,window,split,best_epoch,selected_threshold_from_validation,threshold,balanced_accuracy,f1,precision,recall,roc_auc,average_precision,tn,fp,fn,tp,base_experiment_id,seed
phase3a_001_seed7,previous_day,daytime_only_rolling_trend,gru,7,train,4,0.34,0.34,0.6663379846936276,0.656984785615491,0.5151843817787418,0.9064885496183206,0.7931900361591,0.7057255410562765,332,447,49,475,phase3a_001,7
phase3a_001_seed7,previous_day,daytime_only_rolling_trend,gru,7,validation,4,0.34,0.34,0.685350951974993,0.6419753086419753,0.5165562913907285,0.8478260869565217,0.6980676328502415,0.5292441668100456,80,73,14,78,phase3a_001,7
phase3a_001_seed7,previous_day,daytime_only_rolling_trend,gru,7,test,4,0.34,0.34,0.5915691526857465,0.6104651162790697,0.4751131221719457,0.8536585365853658,0.6664316932186662,0.5501869295439177,57,116,18,105,phase3a_001,7
phase3a_001_seed123,previous_day,daytime_only_rolling_trend,gru,7,train,3,0.32,0.32,0.6521658712971219,0.6486850977747809,0.5015641293013556,0.9179389312977099,0.7810978059559623,0.7011556002248291,301,478,43,481,phase3a_001,123
phase3a_001_seed123,previous_day,daytime_only_rolling_trend,gru,7,validation,3,0.32,0.32,0.6907857345836885,0.6475409836065574,0.5197368421052632,0.8586956521739131,0.6923842000568343,0.519525055970225,80,73,13,79,phase3a_001,123
phase3a_001_seed123,previous_day,daytime_only_rolling_trend,gru,7,test,3,0.32,0.32,0.6244419380609991,0.6253869969040248,0.505,0.8211382113821138,0.6594764791578551,0.5515527981373812,74,99,22,101,phase3a_001,123
phase3a_001_seed2026,previous_day,daytime_only_rolling_trend,gru,7,train,7,0.31,0.31,0.6961410694862272,0.6798866855524079,0.5405405405405406,0.916030534351145,0.8284770061441072,0.7545043479848963,371,408,44,480,phase3a_001,2026
phase3a_001_seed2026,previous_day,daytime_only_rolling_trend,gru,7,validation,7,0.31,0.31,0.684285308326229,0.6386554621848739,0.5205479452054794,0.8260869565217391,0.6810883773799374,0.5240529570759478,83,70,16,76,phase3a_001,2026
phase3a_001_seed2026,previous_day,daytime_only_rolling_trend,gru,7,test,7,0.31,0.31,0.5798204802857276,0.5864197530864198,0.472636815920398,0.7723577235772358,0.6265801964378026,0.5147806987952859,67,106,28,95,phase3a_001,2026
phase3a_002_seed7,previous_day,daytime_only_rolling_trend,gru,14,train,8,0.32,0.32,0.6994049874933677,0.6631578947368421,0.5113636363636364,0.9431137724550899,0.8311875345150566,0.7324934226447998,252,301,19,315,phase3a_002,7
phase3a_002_seed7,previous_day,daytime_only_rolling_trend,gru,14,validation,8,0.32,0.32,0.7679924242424242,0.7008547008547008,0.5942028985507246,0.8541666666666666,0.7455018939393939,0.5657796609504827,60,28,7,41,phase3a_002,7
phase3a_002_seed7,previous_day,daytime_only_rolling_trend,gru,14,test,8,0.32,0.32,0.5052965099782465,0.5849802371541502,0.47435897435897434,0.7628865979381443,0.5075191525584034,0.5005856748688269,27,82,23,74,phase3a_002,7
phase3a_002_seed123,previous_day,daytime_only_rolling_trend,gru,14,train,8,0.27,0.27,0.672220658141222,0.6445783132530121,0.48489425981873113,0.9610778443113772,0.8238513930547585,0.7248810648849457,212,341,13,321,phase3a_002,123
phase3a_002_seed123,previous_day,daytime_only_rolling_trend,gru,14,validation,8,0.27,0.27,0.7736742424242424,0.7068965517241379,0.6029411764705882,0.8541666666666666,0.7530776515151516,0.5728287660005197,61,27,7,41,phase3a_002,123
phase3a_002_seed123,previous_day,daytime_only_rolling_trend,gru,14,test,8,0.27,0.27,0.5752388158516977,0.628099173553719,0.5241379310344828,0.7835051546391752,0.5911283457864371,0.547173750375552,40,69,21,76,phase3a_002,123
phase3a_002_seed2026,previous_day,daytime_only_rolling_trend,gru,14,train,8,0.37,0.37,0.7042966508213231,0.6652267818574514,0.5202702702702703,0.9221556886227545,0.8281772801593918,0.7323860612276809,269,284,26,308,phase3a_002,2026
phase3a_002_seed2026,previous_day,daytime_only_rolling_trend,gru,14,validation,8,0.37,0.37,0.7367424242424242,0.6666666666666666,0.5757575757575758,0.7916666666666666,0.7305871212121211,0.5538172877407973,60,28,10,38,phase3a_002,2026
phase3a_002_seed2026,previous_day,daytime_only_rolling_trend,gru,14,test,8,0.37,0.37,0.48647498344840634,0.5158371040723982,0.4596774193548387,0.5876288659793815,0.514423531637189,0.5052606717509819,42,67,40,57,phase3a_002,2026
