subset_name,window,split,samples,participants,features,sequence_shape,mlp_flattened_shape,mlp_current_day_shape,class_0_samples,class_1_samples,good_sleep_label_mean,tensor_path
daytime_context_survey,7,train,1303,33,115,1303 x 7 x 115,1303 x 805,1303 x 115,779,524,0.40214888718342284,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_previous_day\sequences_by_subset\daytime_context_survey\window_7\train.npz
daytime_context_survey,7,validation,245,9,115,245 x 7 x 115,245 x 805,245 x 115,153,92,0.37551020408163266,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_previous_day\sequences_by_subset\daytime_context_survey\window_7\validation.npz
daytime_context_survey,7,test,296,9,115,296 x 7 x 115,296 x 805,296 x 115,173,123,0.4155405405405405,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_previous_day\sequences_by_subset\daytime_context_survey\window_7\test.npz
daytime_context_survey,14,train,887,27,115,887 x 14 x 115,887 x 1610,887 x 115,553,334,0.3765501691093574,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_previous_day\sequences_by_subset\daytime_context_survey\window_14\train.npz
daytime_context_survey,14,validation,136,7,115,136 x 14 x 115,136 x 1610,136 x 115,88,48,0.35294117647058826,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_previous_day\sequences_by_subset\daytime_context_survey\window_14\validation.npz
daytime_context_survey,14,test,206,5,115,206 x 14 x 115,206 x 1610,206 x 115,109,97,0.470873786407767,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_previous_day\sequences_by_subset\daytime_context_survey\window_14\test.npz
daytime_context_survey,30,train,415,17,115,415 x 30 x 115,415 x 3450,415 x 115,271,144,0.3469879518072289,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_previous_day\sequences_by_subset\daytime_context_survey\window_30\train.npz
daytime_context_survey,30,validation,52,3,115,52 x 30 x 115,52 x 3450,52 x 115,40,12,0.23076923076923078,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_previous_day\sequences_by_subset\daytime_context_survey\window_30\validation.npz
daytime_context_survey,30,test,101,4,115,101 x 30 x 115,101 x 3450,101 x 115,41,60,0.594059405940594,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_previous_day\sequences_by_subset\daytime_context_survey\window_30\test.npz
daytime_only,7,train,1303,33,19,1303 x 7 x 19,1303 x 133,1303 x 19,779,524,0.40214888718342284,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_previous_day\sequences_by_subset\daytime_only\window_7\train.npz
daytime_only,7,validation,245,9,19,245 x 7 x 19,245 x 133,245 x 19,153,92,0.37551020408163266,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_previous_day\sequences_by_subset\daytime_only\window_7\validation.npz
daytime_only,7,test,296,9,19,296 x 7 x 19,296 x 133,296 x 19,173,123,0.4155405405405405,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_previous_day\sequences_by_subset\daytime_only\window_7\test.npz
daytime_only,14,train,887,27,19,887 x 14 x 19,887 x 266,887 x 19,553,334,0.3765501691093574,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_previous_day\sequences_by_subset\daytime_only\window_14\train.npz
daytime_only,14,validation,136,7,19,136 x 14 x 19,136 x 266,136 x 19,88,48,0.35294117647058826,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_previous_day\sequences_by_subset\daytime_only\window_14\validation.npz
daytime_only,14,test,206,5,19,206 x 14 x 19,206 x 266,206 x 19,109,97,0.470873786407767,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_previous_day\sequences_by_subset\daytime_only\window_14\test.npz
daytime_only,30,train,415,17,19,415 x 30 x 19,415 x 570,415 x 19,271,144,0.3469879518072289,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_previous_day\sequences_by_subset\daytime_only\window_30\train.npz
