subset_name,window,split,samples,participants,features,sequence_shape,mlp_flattened_shape,mlp_current_day_shape,class_0_samples,class_1_samples,good_sleep_label_mean,tensor_path
daytime_context_survey,7,train,1393,35,115,1393 x 7 x 115,1393 x 805,1393 x 115,831,562,0.40344580043072503,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_sequences_by_subset\daytime_context_survey\window_7\train.npz
daytime_context_survey,7,validation,269,9,115,269 x 7 x 115,269 x 805,269 x 115,163,106,0.3940520446096654,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_sequences_by_subset\daytime_context_survey\window_7\validation.npz
daytime_context_survey,7,test,314,9,115,314 x 7 x 115,314 x 805,314 x 115,182,132,0.42038216560509556,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_sequences_by_subset\daytime_context_survey\window_7\test.npz
daytime_context_survey,14,train,933,27,115,933 x 14 x 115,933 x 1610,933 x 115,576,357,0.38263665594855306,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_sequences_by_subset\daytime_context_survey\window_14\train.npz
daytime_context_survey,14,validation,146,7,115,146 x 14 x 115,146 x 1610,146 x 115,95,51,0.3493150684931507,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_sequences_by_subset\daytime_context_survey\window_14\validation.npz
daytime_context_survey,14,test,214,5,115,214 x 14 x 115,214 x 1610,214 x 115,116,98,0.45794392523364486,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_sequences_by_subset\daytime_context_survey\window_14\test.npz
daytime_context_survey,30,train,435,19,115,435 x 30 x 115,435 x 3450,435 x 115,287,148,0.34022988505747126,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_sequences_by_subset\daytime_context_survey\window_30\train.npz
daytime_context_survey,30,validation,55,3,115,55 x 30 x 115,55 x 3450,55 x 115,42,13,0.23636363636363636,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_sequences_by_subset\daytime_context_survey\window_30\validation.npz
daytime_context_survey,30,test,106,4,115,106 x 30 x 115,106 x 3450,106 x 115,43,63,0.5943396226415094,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_sequences_by_subset\daytime_context_survey\window_30\test.npz
daytime_only,7,train,1393,35,19,1393 x 7 x 19,1393 x 133,1393 x 19,831,562,0.40344580043072503,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_sequences_by_subset\daytime_only\window_7\train.npz
daytime_only,7,validation,269,9,19,269 x 7 x 19,269 x 133,269 x 19,163,106,0.3940520446096654,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_sequences_by_subset\daytime_only\window_7\validation.npz
daytime_only,7,test,314,9,19,314 x 7 x 19,314 x 133,314 x 19,182,132,0.42038216560509556,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_sequences_by_subset\daytime_only\window_7\test.npz
daytime_only,14,train,933,27,19,933 x 14 x 19,933 x 266,933 x 19,576,357,0.38263665594855306,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_sequences_by_subset\daytime_only\window_14\train.npz
daytime_only,14,validation,146,7,19,146 x 14 x 19,146 x 266,146 x 19,95,51,0.3493150684931507,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_sequences_by_subset\daytime_only\window_14\validation.npz
daytime_only,14,test,214,5,19,214 x 14 x 19,214 x 266,214 x 19,116,98,0.45794392523364486,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_sequences_by_subset\daytime_only\window_14\test.npz
daytime_only,30,train,435,19,19,435 x 30 x 19,435 x 570,435 x 19,287,148,0.34022988505747126,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_sequences_by_subset\daytime_only\window_30\train.npz
daytime_only,30,validation,55,3,19,55 x 30 x 19,55 x 570,55 x 19,42,13,0.23636363636363636,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_sequences_by_subset\daytime_only\window_30\validation.npz
daytime_only,30,test,106,4,19,106 x 30 x 19,106 x 570,106 x 19,43,63,0.5943396226415094,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_sequences_by_subset\daytime_only\window_30\test.npz
full_current,7,train,1393,35,197,1393 x 7 x 197,1393 x 1379,1393 x 197,831,562,0.40344580043072503,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_sequences_by_subset\full_current\window_7\train.npz
full_current,7,validation,269,9,197,269 x 7 x 197,269 x 1379,269 x 197,163,106,0.3940520446096654,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_sequences_by_subset\full_current\window_7\validation.npz
full_current,7,test,314,9,197,314 x 7 x 197,314 x 1379,314 x 197,182,132,0.42038216560509556,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_sequences_by_subset\full_current\window_7\test.npz
full_current,14,train,933,27,197,933 x 14 x 197,933 x 2758,933 x 197,576,357,0.38263665594855306,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_sequences_by_subset\full_current\window_14\train.npz
full_current,14,validation,146,7,197,146 x 14 x 197,146 x 2758,146 x 197,95,51,0.3493150684931507,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_sequences_by_subset\full_current\window_14\validation.npz
full_current,14,test,214,5,197,214 x 14 x 197,214 x 2758,214 x 197,116,98,0.45794392523364486,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_sequences_by_subset\full_current\window_14\test.npz
full_current,30,train,435,19,197,435 x 30 x 197,435 x 5910,435 x 197,287,148,0.34022988505747126,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_sequences_by_subset\full_current\window_30\train.npz
full_current,30,validation,55,3,197,55 x 30 x 197,55 x 5910,55 x 197,42,13,0.23636363636363636,c:\workSpace\DeepLearnin_sleep\data\processed\deep_learning_sequences_by_subset\full_current\window_30\validation.npz
