experiment_id,phase,subset_name,window,model_family,run,selection_metric,test_policy
phase1a_000,phase_1_priority,daytime_only,7,bilstm,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_001,phase_1_priority,daytime_only,7,cnn_1d,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_002,phase_1_priority,daytime_only,7,gru,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_003,phase_1_priority,daytime_only,7,mlp_current_day,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_004,phase_1_priority,daytime_only,14,bilstm,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_005,phase_1_priority,daytime_only,14,cnn_1d,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_006,phase_1_priority,daytime_only,14,gru,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_007,phase_1_priority,daytime_only,14,mlp_current_day,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_008,phase_1_priority,daytime_only,30,bilstm,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_009,phase_1_priority,daytime_only,30,cnn_1d,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_010,phase_1_priority,daytime_only,30,gru,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_011,phase_1_priority,daytime_only,30,mlp_current_day,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_012,phase_1_priority,full_current,7,bilstm,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_013,phase_1_priority,full_current,7,cnn_1d,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_014,phase_1_priority,full_current,7,gru,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_015,phase_1_priority,full_current,7,mlp_current_day,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_016,phase_1_priority,full_current,14,bilstm,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_017,phase_1_priority,full_current,14,cnn_1d,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_018,phase_1_priority,full_current,14,gru,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_019,phase_1_priority,full_current,14,mlp_current_day,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_020,phase_1_priority,full_current,30,bilstm,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_021,phase_1_priority,full_current,30,cnn_1d,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_022,phase_1_priority,full_current,30,gru,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_023,phase_1_priority,full_current,30,mlp_current_day,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_024,phase_1_priority,no_high_sleep_session,7,bilstm,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_025,phase_1_priority,no_high_sleep_session,7,cnn_1d,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_026,phase_1_priority,no_high_sleep_session,7,gru,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_027,phase_1_priority,no_high_sleep_session,7,mlp_current_day,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_028,phase_1_priority,no_high_sleep_session,14,bilstm,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_029,phase_1_priority,no_high_sleep_session,14,cnn_1d,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_030,phase_1_priority,no_high_sleep_session,14,gru,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_031,phase_1_priority,no_high_sleep_session,14,mlp_current_day,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_032,phase_1_priority,no_high_sleep_session,30,bilstm,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_033,phase_1_priority,no_high_sleep_session,30,cnn_1d,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_034,phase_1_priority,no_high_sleep_session,30,gru,True,validation_balanced_accuracy,validation ranking 이후 확인
phase1a_035,phase_1_priority,no_high_sleep_session,30,mlp_current_day,True,validation_balanced_accuracy,validation ranking 이후 확인
