feature,source_type
stress_score_mean_missing_ind,numeric
stress_score_mean,numeric
stress_responsiveness_points_mean_missing_ind,numeric
stress_responsiveness_points_mean,numeric
stress_exertion_points_mean_missing_ind,numeric
stress_exertion_points_mean,numeric
stress_ready_rate_missing_ind,numeric
stress_ready_rate,numeric
stress_calculation_failed_rate_missing_ind,numeric
stress_calculation_failed_rate,numeric
stress_record_count_missing_ind,numeric
stress_record_count,numeric
hrv_summary_rmssd_mean_missing_ind,numeric
hrv_summary_rmssd_mean,numeric
hrv_summary_nremhr_mean_missing_ind,numeric
hrv_summary_nremhr_mean,numeric
hrv_summary_entropy_mean_missing_ind,numeric
hrv_summary_entropy_mean,numeric
hrv_summary_record_count_missing_ind,numeric
hrv_summary_record_count,numeric
hrv_detail_rmssd_mean_missing_ind,numeric
hrv_detail_rmssd_mean,numeric
hrv_detail_rmssd_std_missing_ind,numeric
hrv_detail_rmssd_std,numeric
hrv_detail_rmssd_min_missing_ind,numeric
hrv_detail_rmssd_min,numeric
hrv_detail_rmssd_max_missing_ind,numeric
hrv_detail_rmssd_max,numeric
hrv_detail_coverage_mean_missing_ind,numeric
hrv_detail_coverage_mean,numeric
hrv_detail_coverage_std_missing_ind,numeric
hrv_detail_coverage_std,numeric
hrv_detail_coverage_min_missing_ind,numeric
hrv_detail_coverage_min,numeric
hrv_detail_coverage_max_missing_ind,numeric
hrv_detail_coverage_max,numeric
hrv_detail_low_frequency_mean_missing_ind,numeric
hrv_detail_low_frequency_mean,numeric
hrv_detail_low_frequency_std_missing_ind,numeric
hrv_detail_low_frequency_std,numeric
hrv_detail_low_frequency_min_missing_ind,numeric
hrv_detail_low_frequency_min,numeric
hrv_detail_low_frequency_max_missing_ind,numeric
hrv_detail_low_frequency_max,numeric
hrv_detail_high_frequency_mean_missing_ind,numeric
hrv_detail_high_frequency_mean,numeric
hrv_detail_high_frequency_std_missing_ind,numeric
hrv_detail_high_frequency_std,numeric
hrv_detail_high_frequency_min_missing_ind,numeric
hrv_detail_high_frequency_min,numeric
hrv_detail_high_frequency_max_missing_ind,numeric
hrv_detail_high_frequency_max,numeric
hrv_detail_record_count_missing_ind,numeric
hrv_detail_record_count,numeric
resting_hr_resting_heart_rate_mean,numeric
resting_hr_error_mean,numeric
resting_hr_record_count,numeric
lightly_active_minutes_sum_missing_ind,numeric
lightly_active_minutes_sum,numeric
moderately_active_minutes_sum_missing_ind,numeric
moderately_active_minutes_sum,numeric
sedentary_minutes_sum_missing_ind,numeric
sedentary_minutes_sum,numeric
very_active_minutes_sum_missing_ind,numeric
very_active_minutes_sum,numeric
spo2_average_value_mean_missing_ind,numeric
spo2_average_value_mean,numeric
spo2_lower_bound_mean_missing_ind,numeric
spo2_lower_bound_mean,numeric
spo2_upper_bound_mean_missing_ind,numeric
spo2_upper_bound_mean,numeric
spo2_record_count_missing_ind,numeric
spo2_record_count,numeric
respiratory_full_sleep_breathing_rate_mean_missing_ind,numeric
respiratory_full_sleep_breathing_rate_mean,numeric
respiratory_full_sleep_signal_to_noise_mean_missing_ind,numeric
respiratory_full_sleep_signal_to_noise_mean,numeric
respiratory_full_sleep_standard_deviation_mean_missing_ind,numeric
respiratory_full_sleep_standard_deviation_mean,numeric
respiratory_deep_sleep_breathing_rate_mean_missing_ind,numeric
respiratory_deep_sleep_breathing_rate_mean,numeric
respiratory_rem_sleep_breathing_rate_mean_missing_ind,numeric
respiratory_rem_sleep_breathing_rate_mean,numeric
respiratory_record_count_missing_ind,numeric
respiratory_record_count,numeric
steps_sum_missing_ind,numeric
steps_sum,numeric
steps_record_count_missing_ind,numeric
steps_record_count,numeric
calories_sum_missing_ind,numeric
calories_sum,numeric
calories_record_count_missing_ind,numeric
calories_record_count,numeric
wrist_temperature_mean_missing_ind,numeric
wrist_temperature_mean,numeric
wrist_temperature_min_missing_ind,numeric
wrist_temperature_min,numeric
wrist_temperature_max_missing_ind,numeric
wrist_temperature_max,numeric
wrist_temperature_record_count_missing_ind,numeric
wrist_temperature_record_count,numeric
sema_response_count_missing_ind,numeric
sema_response_count,numeric
mood_alert_count_missing_ind,numeric
mood_alert_count,numeric
mood_anger_count_missing_ind,numeric
mood_anger_count,numeric
mood_fear_count_missing_ind,numeric
mood_fear_count,numeric
mood_happy_count_missing_ind,numeric
mood_happy_count,numeric
mood_joy_count_missing_ind,numeric
mood_joy_count,numeric
mood_neutral_count_missing_ind,numeric
mood_neutral_count,numeric
mood_rested_relaxed_count_missing_ind,numeric
mood_rested_relaxed_count,numeric
mood_sad_count_missing_ind,numeric
mood_sad_count,numeric
mood_sadness_count_missing_ind,numeric
mood_sadness_count,numeric
mood_surprise_count_missing_ind,numeric
mood_surprise_count,numeric
mood_tense_anxious_count_missing_ind,numeric
mood_tense_anxious_count,numeric
mood_tired_count_missing_ind,numeric
mood_tired_count,numeric
place_entertainment_count_missing_ind,numeric
place_entertainment_count,numeric
place_gym_count_missing_ind,numeric
place_gym_count,numeric
place_home_count_missing_ind,numeric
place_home_count,numeric
place_home_office_count_missing_ind,numeric
place_home_office_count,numeric
place_other_count_missing_ind,numeric
place_other_count,numeric
place_outdoors_count_missing_ind,numeric
place_outdoors_count,numeric
place_transit_count_missing_ind,numeric
place_transit_count,numeric
place_work_school_count_missing_ind,numeric
place_work_school_count,numeric
mood_alert_rate_missing_ind,numeric
mood_alert_rate,numeric
mood_anger_rate_missing_ind,numeric
mood_anger_rate,numeric
mood_fear_rate_missing_ind,numeric
mood_fear_rate,numeric
mood_happy_rate_missing_ind,numeric
mood_happy_rate,numeric
mood_joy_rate_missing_ind,numeric
mood_joy_rate,numeric
mood_neutral_rate_missing_ind,numeric
mood_neutral_rate,numeric
mood_rested_relaxed_rate_missing_ind,numeric
mood_rested_relaxed_rate,numeric
mood_sad_rate_missing_ind,numeric
mood_sad_rate,numeric
mood_sadness_rate_missing_ind,numeric
mood_sadness_rate,numeric
mood_surprise_rate_missing_ind,numeric
mood_surprise_rate,numeric
mood_tense_anxious_rate_missing_ind,numeric
mood_tense_anxious_rate,numeric
mood_tired_rate_missing_ind,numeric
mood_tired_rate,numeric
place_entertainment_rate_missing_ind,numeric
place_entertainment_rate,numeric
place_gym_rate_missing_ind,numeric
place_gym_rate,numeric
place_home_rate_missing_ind,numeric
place_home_rate,numeric
place_home_office_rate_missing_ind,numeric
place_home_office_rate,numeric
place_other_rate_missing_ind,numeric
place_other_rate,numeric
place_outdoors_rate_missing_ind,numeric
place_outdoors_rate,numeric
place_transit_rate_missing_ind,numeric
place_transit_rate,numeric
place_work_school_rate_missing_ind,numeric
place_work_school_rate,numeric
survey_response_count_missing_ind,numeric
survey_response_count,numeric
survey_bfpt_count_missing_ind,numeric
survey_bfpt_count,numeric
survey_breq_count_missing_ind,numeric
survey_breq_count,numeric
survey_dq_count_missing_ind,numeric
survey_dq_count,numeric
survey_panas_count_missing_ind,numeric
survey_panas_count,numeric
survey_stai_count_missing_ind,numeric
survey_stai_count,numeric
survey_ttmspbf_count_missing_ind,numeric
survey_ttmspbf_count,numeric
