component,component_number,explained_variance,explained_variance_ratio,cumulative_explained_variance_ratio
PC001,1,45.3812666935052,0.24261222908052302,0.24261222908052302
PC002,2,32.70638186856689,0.1748511839451903,0.4174634130257133
PC003,3,9.078878545802308,0.048536480403348244,0.46599989342906156
PC004,4,8.28595486989572,0.0442974409379745,0.5102973343670361
PC005,5,6.8785987772268555,0.03677359192206957,0.5470709262891056
PC006,6,6.692758579071833,0.03578007393519485,0.5828510002243005
PC007,7,5.839414404070081,0.031218021186242277,0.6140690214105428
PC008,8,4.133472112869734,0.022097904184085436,0.6361669255946282
PC009,9,3.9533203031826205,0.021134796820505914,0.6573017224151341
PC010,10,3.715723735265609,0.01986458474481527,0.6771663071599493
PC011,11,3.3745716009298468,0.018040755535159853,0.6952070626951091
PC012,12,2.807689203933142,0.015010152557707842,0.710217215252817
PC013,13,2.599515263423368,0.01389723642681499,0.724114451679632
PC014,14,2.525380257586502,0.013500904188218536,0.7376153558678505
PC015,15,2.4672043072246113,0.013189890458886116,0.7508052463267366
PC016,16,2.420776618160811,0.012941683964102706,0.7637469302908393
PC017,17,2.2097904998438063,0.011813733684185524,0.7755606639750248
PC018,18,2.1332271495912547,0.011404419303516138,0.7869650832785409
PC019,19,2.0882137405643486,0.011163773673761295,0.7981288569523022
PC020,20,2.0874818771709407,0.011159861067917647,0.8092887180202198
PC021,21,2.0467514194922476,0.0109421124714398,0.8202308304916597
PC022,22,1.944568654312126,0.010395834453212757,0.8306266649448725
PC023,23,1.9204218804250934,0.01026674368372406,0.8408934086285965
PC024,24,1.8855084280995724,0.010080093307682364,0.8509735019362789
PC025,25,1.7879835762826612,0.009558716902527178,0.860532218838806
PC026,26,1.7595942702147334,0.009406945184172413,0.8699391640229784
PC027,27,1.667783883078857,0.00891611880803319,0.8788552828310117
PC028,28,1.6480058418560324,0.008810383666254905,0.8876656664972665
PC029,29,1.523906450829648,0.008146937445421332,0.8958126039426879
PC030,30,1.5001965294609663,0.008020182127782676,0.9038327860704706
PC031,31,1.4610177220121652,0.007810728789424656,0.9116435148598953
PC032,32,1.381430328513964,0.007385247608528691,0.9190287624684239
PC033,33,1.292495789895714,0.006909795770611847,0.9259385582390357
PC034,34,1.2036207060816817,0.006434661783289132,0.9323732200223248
PC035,35,1.024659243252796,0.005477918118338919,0.9378511381406637
PC036,36,0.8510492788058661,0.004549784032758447,0.9424009221734221
PC037,37,0.7756237682468866,0.0041465526428142475,0.9465474748162364
PC038,38,0.7450825509609521,0.003983276618488694,0.9505307514347251
PC039,39,0.7100642010509945,0.0037960654507670924,0.9543268168854921
PC040,40,0.6715137266820218,0.003589971236122648,0.9579167881216148
PC041,41,0.6212785962640592,0.0033214098261654212,0.9612381979477803
PC042,42,0.609826970544045,0.0032601884314147514,0.964498386379195
PC043,43,0.5576185395256731,0.0029810775835023306,0.9674794639626974
PC044,44,0.5427562596977907,0.0029016225329720406,0.9703810864956693
PC045,45,0.4779099892521592,0.0025549486878670364,0.9729360351835363
PC046,46,0.4623505064134791,0.002471766328936262,0.9754078015124726
PC047,47,0.3856796074724371,0.0020618769835523475,0.977469678496025
PC048,48,0.3839988199755931,0.0020528913462854537,0.9795225698423105
PC049,49,0.3291585871045094,0.0017597106550101983,0.9812822804973207
PC050,50,0.3093055964463391,0.0016535748269817835,0.9829358553243025
PC051,51,0.30191766561831884,0.0016140783012769328,0.9845499336255794
PC052,52,0.27595484840604134,0.0014752788050085247,0.9860252124305879
PC053,53,0.25202847218852426,0.0013473663007773063,0.9873725787313652
PC054,54,0.2428875937336995,0.0012984983634264841,0.9886710770947916
PC055,55,0.22078142338319373,0.001180316839288077,0.9898513939340797
PC056,56,0.20788396193520325,0.0011113658800186899,0.9909627598140984
PC057,57,0.19557062672080794,0.0010455377107885064,0.992008297524887
PC058,58,0.1640065451766235,0.0008767933644917568,0.9928850908893787
PC059,59,0.1270409410534205,0.0006791720050835153,0.9935642628944622
PC060,60,0.10879459738575588,0.0005816254526772348,0.9941458883471395
PC061,61,0.09554089951362342,0.00051077002226286,0.9946566583694023
PC062,62,0.08824393551052472,0.00047175981317661874,0.9951284181825789
PC063,63,0.08678846071639144,0.00046397871736543185,0.9955923968999444
PC064,64,0.08228965966167874,0.0004399277326398366,0.9960323246325842
PC065,65,0.0798736590908874,0.0004270115818435568,0.9964593362144277
PC066,66,0.07751463345956594,0.0004144000240671209,0.9968737362384948
PC067,67,0.06538491187814328,0.00034955346941120506,0.9972232897079061
PC068,68,0.06357779461036324,0.0003398924621170044,0.997563182170023
PC069,69,0.0525743894740455,0.00028106729389004123,0.997844249463913
PC070,70,0.05116329515953381,0.00027352346001253665,0.9981177729239256
PC071,71,0.039243924426983566,0.0002098014594304105,0.998327574383356
PC072,72,0.036841305708667206,0.00019695684919028371,0.9985245312325463
PC073,73,0.03418653128463961,0.00018276419244781612,0.998707295424994
PC074,74,0.02993460973601482,0.00016003304719895502,0.998867328472193
PC075,75,0.025042227514329874,0.00013387794306020742,0.9990012064152531
PC076,76,0.020776752730952596,0.00011107434103051732,0.9991122807562837
PC077,77,0.018132396874467323,9.693738286324245e-05,0.9992092181391469
PC078,78,0.016792353464355012,8.977339334775054e-05,0.9992989915324946
PC079,79,0.01599000024866151,8.548394273624556e-05,0.9993844754752308
PC080,80,0.015082336993099795,8.06314954219482e-05,0.9994651069706527
PC081,81,0.013374839842127536,7.150306600317859e-05,0.999536610036656
PC082,82,0.012199527550402016,6.521974348406355e-05,0.99960182978014
PC083,83,0.01105055281836309,5.907722386732807e-05,0.9996609070040073
PC084,84,0.0075852847535069915,4.055159708713489e-05,0.9997014586010945
PC085,85,0.007433320456523351,3.9739182636898044e-05,0.9997411977837314
PC086,86,0.007121400535305781,3.807163140056276e-05,0.999779269415132
PC087,87,0.006583792685705279,3.519753271919142e-05,0.9998144669478511
PC088,88,0.005943932585725293,3.177678454562737e-05,0.9998462437323967
PC089,89,0.005071874102871408,2.7114683466724712e-05,0.9998733584158634
PC090,90,0.004973191294483862,2.6587116524256462e-05,0.9998999455323877
PC091,91,0.004381956161213569,2.342632168434613e-05,0.9999233718540721
PC092,92,0.0040703924628459655,2.1760674846587105e-05,0.9999451325289187
PC093,93,0.0037988433148930857,2.0308949302328694e-05,0.9999654414782211
PC094,94,0.0035461565351986987,1.8958063631929194e-05,0.999984399541853
PC095,95,0.0016487204597749232,8.814204076280344e-06,0.9999932137459293
PC096,96,0.0012514608963216773,6.690419633155907e-06,0.9999999041655625
PC097,97,1.7926087849387196e-05,9.583443673368272e-08,0.9999999999999992
PC098,98,4.876900041886464e-15,2.6072335048644768e-17,0.9999999999999992
PC099,99,3.029393826835832e-15,1.6195404902538853e-17,0.9999999999999992
PC100,100,2.5445030569380664e-15,1.3603136349525893e-17,0.9999999999999992
PC101,101,1.8303230780947865e-15,9.785067589963337e-18,0.9999999999999992
PC102,102,1.6423186393670122e-15,8.779979383306784e-18,0.9999999999999992
PC103,103,1.4990766422475615e-15,8.014195112589867e-18,0.9999999999999992
PC104,104,1.4207867478978468e-15,7.595650475858048e-18,0.9999999999999992
PC105,105,1.339775470272933e-15,7.162557085627617e-18,0.9999999999999992
PC106,106,1.3231922872374711e-15,7.073901935724994e-18,0.9999999999999992
PC107,107,1.2116691738652092e-15,6.477689597449371e-18,0.9999999999999992
PC108,108,1.0782253463296823e-15,5.764287200066212e-18,0.9999999999999992
PC109,109,9.480308887825896e-16,5.068256219424805e-18,0.9999999999999992
PC110,110,8.716765856642553e-16,4.6600594230564e-18,0.9999999999999992
PC111,111,8.601979883760005e-16,4.598693835938055e-18,0.9999999999999992
PC112,112,7.983671386558476e-16,4.268140694311093e-18,0.9999999999999992
PC113,113,7.953600083332136e-16,4.252064312053252e-18,0.9999999999999992
PC114,114,7.249119800182749e-16,3.87544297842571e-18,0.9999999999999992
PC115,115,6.803107798357968e-16,3.6370010532802775e-18,0.9999999999999992
PC116,116,6.179908382503794e-16,3.303833183676278e-18,0.9999999999999992
PC117,117,5.741406571774548e-16,3.0694062725118662e-18,0.9999999999999992
PC118,118,5.346331742142091e-16,2.8581958060476152e-18,0.9999999999999992
PC119,119,5.135453179730125e-16,2.74545827838538e-18,0.9999999999999992
PC120,120,4.785289563277626e-16,2.558257740101162e-18,0.9999999999999992
PC121,121,4.77090902820705e-16,2.55056978001753e-18,0.9999999999999992
PC122,122,4.25577732596071e-16,2.2751758572429703e-18,0.9999999999999992
PC123,123,3.839831320692079e-16,2.0528074773629882e-18,0.9999999999999992
PC124,124,3.771294044717062e-16,2.016166848947507e-18,0.9999999999999992
PC125,125,3.506640364595179e-16,1.8746806720578627e-18,0.9999999999999992
PC126,126,3.329741731318199e-16,1.780109112320487e-18,0.9999999999999992
PC127,127,3.1407496809320524e-16,1.67907230580657e-18,0.9999999999999992
PC128,128,2.7316050766351257e-16,1.4603400144953798e-18,0.9999999999999992
PC129,129,2.3928911439243886e-16,1.2792605774876355e-18,0.9999999999999992
PC130,130,2.028129109079035e-16,1.0842555967861077e-18,0.9999999999999992
PC131,131,2.0062857485807143e-16,1.0725779448225818e-18,0.9999999999999992
PC132,132,1.7072651965361897e-16,9.127189370025264e-19,0.9999999999999992
PC133,133,1.540873929341923e-16,8.237647072623695e-19,0.9999999999999992
PC134,134,1.2867880766138255e-16,6.879281835167431e-19,0.9999999999999992
