method,split,bin_id,bin_left,bin_right,count,mean_probability,observed_positive_rate,absolute_error
original,validation,0,0.0,0.1,0,,,
original,validation,1,0.1,0.2,0,,,
original,validation,2,0.2,0.30000000000000004,50,0.2746742788,0.14,0.1346742788
original,validation,3,0.30000000000000004,0.4,111,0.3480565525225225,0.2882882882882883,0.0597682642342342
original,validation,4,0.4,0.5,31,0.44397306516129026,0.16129032258064516,0.2826827425806451
original,validation,5,0.5,0.6000000000000001,60,0.5477985750000001,0.43333333333333335,0.11446524166666672
original,validation,6,0.6000000000000001,0.7000000000000001,75,0.6585191027999999,0.5733333333333334,0.08518576946666656
original,validation,7,0.7000000000000001,0.8,20,0.72357188,0.45,0.27357187999999993
original,validation,8,0.8,0.9,0,,,
original,validation,9,0.9,1.0,0,,,
original,test,0,0.0,0.1,0,,,
original,test,1,0.1,0.2,2,0.16576603,1.0,0.83423397
original,test,2,0.2,0.30000000000000004,62,0.2745732685483871,0.3225806451612903,0.04800737661290322
original,test,3,0.30000000000000004,0.4,344,0.35090505677325584,0.2238372093023256,0.12706784747093025
original,test,4,0.4,0.5,191,0.44520247523560214,0.3089005235602094,0.13630195167539272
original,test,5,0.5,0.6000000000000001,180,0.5458930639444444,0.43333333333333335,0.11255973061111102
original,test,6,0.6000000000000001,0.7000000000000001,95,0.6382681394736841,0.8,0.16173186052631594
original,test,7,0.7000000000000001,0.8,5,0.7392392200000001,0.8,0.06076077999999996
original,test,8,0.8,0.9,2,0.8188787,1.0,0.18112130000000004
original,test,9,0.9,1.0,0,,,
platt,validation,0,0.0,0.1,0,,,
platt,validation,1,0.1,0.2,48,0.18223832233148865,0.14583333333333334,0.03640498899815531
platt,validation,2,0.2,0.30000000000000004,122,0.24271638863525574,0.27049180327868855,0.027775414643432805
platt,validation,3,0.30000000000000004,0.4,43,0.3558484373693542,0.18604651162790697,0.1698019257414472
platt,validation,4,0.4,0.5,47,0.4392730527304596,0.574468085106383,0.13519503237592345
platt,validation,5,0.5,0.6000000000000001,79,0.5405277233956925,0.5316455696202531,0.008882153775439439
platt,validation,6,0.6000000000000001,0.7000000000000001,8,0.6245276912893258,0.625,0.000472308710674163
platt,validation,7,0.7000000000000001,0.8,0,,,
platt,validation,8,0.8,0.9,0,,,
platt,validation,9,0.9,1.0,0,,,
platt,test,0,0.0,0.1,1,0.0863280128509094,1.0,0.9136719871490906
platt,test,1,0.1,0.2,58,0.18045710703144585,0.3448275862068966,0.16437047917545072
platt,test,2,0.2,0.30000000000000004,399,0.24706247162915745,0.22305764411027568,0.024004827518881777
platt,test,3,0.30000000000000004,0.4,203,0.3470679146608455,0.32019704433497537,0.026870870325870155
platt,test,4,0.4,0.5,161,0.4406082817599156,0.577639751552795,0.1370314697928794
platt,test,5,0.5,0.6000000000000001,53,0.5276184304893252,0.8490566037735849,0.3214381732842597
platt,test,6,0.6000000000000001,0.7000000000000001,4,0.6295643917895986,0.75,0.12043560821040145
platt,test,7,0.7000000000000001,0.8,2,0.7210884958212315,1.0,0.27891150417876853
platt,test,8,0.8,0.9,0,,,
platt,test,9,0.9,1.0,0,,,
isotonic,validation,0,0.0,0.1,35,0.05714285714285714,0.05714285714285714,0.0
isotonic,validation,1,0.1,0.2,0,,,
isotonic,validation,2,0.2,0.30000000000000004,181,0.25414364640883974,0.2541436464088398,5.551115123125783e-17
isotonic,validation,3,0.30000000000000004,0.4,3,0.3333333333333333,0.3333333333333333,0.0
isotonic,validation,4,0.4,0.5,0,,,
isotonic,validation,5,0.5,0.6000000000000001,126,0.5634920634920634,0.5634920634920635,1.1102230246251565e-16
isotonic,validation,6,0.6000000000000001,0.7000000000000001,0,,,
isotonic,validation,7,0.7000000000000001,0.8,0,,,
isotonic,validation,8,0.8,0.9,0,,,
isotonic,validation,9,0.9,1.0,2,1.0,1.0,0.0
isotonic,test,0,0.0,0.1,42,0.05714285714285713,0.40476190476190477,0.34761904761904766
isotonic,test,1,0.1,0.2,0,,,
isotonic,test,2,0.2,0.30000000000000004,622,0.25824194058221106,0.25562700964630225,0.00261493093590881
isotonic,test,3,0.30000000000000004,0.4,12,0.33804706321672934,0.6666666666666666,0.3286196034499373
isotonic,test,4,0.4,0.5,5,0.4413873952009257,0.4,0.04138739520092566
isotonic,test,5,0.5,0.6000000000000001,197,0.5425095579362765,0.6548223350253807,0.11231277708910414
isotonic,test,6,0.6000000000000001,0.7000000000000001,0,,,
isotonic,test,7,0.7000000000000001,0.8,1,0.70299936025755,1.0,0.29700063974244995
isotonic,test,8,0.8,0.9,0,,,
isotonic,test,9,0.9,1.0,2,1.0,1.0,0.0
