experiment_id,split,model_family,window,input_dim,hidden_dim,dropout,weight_decay,learning_rate,best_epoch,seed,threshold,balanced_accuracy,f1,precision,recall,brier_score,tn,fp,fn,tp,positive_rate,mean_probability,roc_auc,average_precision
presleep_seq_000,train,gru,3,58,16,0.4,0.001,0.0008,1,2027,0.41,0.6766093321436832,0.6574733096085409,0.5581570996978852,0.7997835497835498,0.2027751147481436,725,585,185,739,0.4136078655719757,0.4847843647003174,0.7537292224315126,0.6767259768744771
presleep_seq_000,validation,gru,3,58,16,0.4,0.001,0.0008,1,2027,0.41,0.6308137199775082,0.5656565656565656,0.4692737430167598,0.711864406779661,0.2183757832650794,116,95,34,84,0.3586626052856445,0.4730356335639953,0.7062414651779259,0.5462524839545096
presleep_seq_000,test,gru,3,58,16,0.4,0.001,0.0008,1,2027,0.41,0.6466077763671527,0.5813333333333334,0.4965831435079726,0.7009646302250804,0.2103541019703776,321,221,93,218,0.3645955324172973,0.4344635307788849,0.6934659057201504,0.599648671592944
presleep_seq_001,train,gru,5,58,16,0.4,0.001,0.0008,1,2027,0.36,0.6574600911085586,0.6592317224287485,0.5219097449313277,0.8946188340807175,0.20036203825098722,530,731,94,798,0.4143056273460388,0.49398577213287354,0.7656266113803907,0.6948772158060075
presleep_seq_001,validation,gru,5,58,16,0.4,0.001,0.0008,1,2027,0.36,0.6545720361509835,0.6105919003115264,0.47342995169082125,0.8596491228070176,0.2210535145101663,89,109,16,98,0.36538460850715637,0.486013263463974,0.707779549884813,0.549697200101091
presleep_seq_001,test,gru,5,58,16,0.4,0.001,0.0008,1,2027,0.36,0.6103745791245792,0.5645933014354066,0.437847866419295,0.7946127946127947,0.21409338457645247,225,303,61,236,0.36000001430511475,0.4522913694381714,0.6910009182736456,0.5999537494214865
presleep_seq_002,train,gru,7,58,16,0.4,0.001,0.0008,20,2027,0.34,0.7243652787530782,0.7143495753240948,0.5827862873814734,0.9226327944572749,0.16809394841643638,635,572,67,799,0.41775205731391907,0.4878438711166382,0.8379965979821328,0.7825639978618059
presleep_seq_002,validation,gru,7,58,16,0.4,0.001,0.0008,20,2027,0.34,0.6461271102284012,0.5953177257525084,0.46113989637305697,0.839622641509434,0.212885100019612,86,104,17,89,0.3581081032752991,0.4628680944442749,0.7207050645481629,0.5759979968562392
presleep_seq_002,test,gru,7,58,16,0.4,0.001,0.0008,20,2027,0.34,0.6013595682175309,0.5525982256020279,0.4342629482071713,0.759581881533101,0.21795286693336052,226,284,69,218,0.3601003885269165,0.43638283014297485,0.6767097082735534,0.5711528592415215
presleep_seq_003,train,lstm,5,58,16,0.4,0.001,0.0008,22,2027,0.4,0.7844390884876762,0.7599620493358634,0.6587171052631579,0.897982062780269,0.14246426547791943,846,415,91,801,0.4143056273460388,0.4744832515716553,0.8841335263137307,0.8374763843670624
presleep_seq_003,validation,lstm,5,58,16,0.4,0.001,0.0008,22,2027,0.4,0.6379585326953747,0.5821917808219178,0.47752808988764045,0.7456140350877193,0.234710621067426,105,93,29,85,0.36538460850715637,0.47806382179260254,0.7041024277866382,0.5531817688187994
presleep_seq_003,test,lstm,5,58,16,0.4,0.001,0.0008,22,2027,0.4,0.5693392255892256,0.49653259361997226,0.4221698113207547,0.6026936026936027,0.24045891462731697,283,245,118,179,0.36000001430511475,0.41923606395721436,0.6133557800224467,0.521457472604156
presleep_seq_004,train,bilstm,5,58,12,0.4,0.001,0.0008,4,2027,0.52,0.7452881014782915,0.7023411371237458,0.6984478935698448,0.7062780269058296,0.17260787119608365,989,272,262,630,0.4143056273460388,0.4797239601612091,0.8293519272553992,0.7685650257842835
presleep_seq_004,validation,bilstm,5,58,12,0.4,0.001,0.0008,4,2027,0.52,0.6410154173312068,0.5587044534412956,0.518796992481203,0.6052631578947368,0.2309148232425484,134,64,45,69,0.36538460850715637,0.4698968529701233,0.6842105263157895,0.5033469814355591
presleep_seq_004,test,bilstm,5,58,12,0.4,0.001,0.0008,4,2027,0.52,0.6289983164983165,0.5214408233276158,0.5314685314685315,0.5117845117845118,0.21722434564073748,394,134,145,152,0.36000001430511475,0.4452943801879883,0.677768850117335,0.5720017500994408
presleep_seq_005,train,cnn1d,5,58,16,0.4,0.001,0.0008,18,2027,0.37,0.7048902394355678,0.6957264957264957,0.5621546961325967,0.9125560538116592,0.18056143714536127,627,634,78,814,0.4143056273460388,0.46887508034706116,0.8193093601419615,0.7486710387025075
presleep_seq_005,validation,cnn1d,5,58,16,0.4,0.001,0.0008,18,2027,0.37,0.6307814992025518,0.5859872611464968,0.46,0.8070175438596491,0.21297165524323694,90,108,22,92,0.36538460850715637,0.4559974670410156,0.7065390749601276,0.609039151340449
presleep_seq_005,test,cnn1d,5,58,16,0.4,0.001,0.0008,18,2027,0.37,0.5904882154882155,0.5507584597432905,0.42142857142857143,0.7946127946127947,0.21319200543591077,204,324,61,236,0.36000001430511475,0.4377938508987427,0.6887626262626263,0.6146692625740315
