probability_bin,samples,mean_predicted_probability,observed_positive_rate,predicted_positive_rate_at_threshold,abs_calibration_error
"(-0.001, 0.1]",0,,,,
"(0.1, 0.2]",2,0.16576603,1.0,0.0,0.83423397
"(0.2, 0.3]",62,0.2745732685483871,0.3225806451612903,0.0,0.04800737661290322
"(0.3, 0.4]",344,0.35090505677325584,0.2238372093023256,0.0,0.12706784747093025
"(0.4, 0.5]",191,0.4452024752356021,0.3089005235602094,0.0,0.13630195167539266
"(0.5, 0.6]",180,0.5458930639444445,0.43333333333333335,0.5777777777777777,0.11255973061111113
"(0.6, 0.7]",95,0.6382681394736842,0.8,1.0,0.16173186052631583
"(0.7, 0.8]",5,0.73923922,0.8,1.0,0.06076078000000007
"(0.8, 0.9]",2,0.8188787,1.0,1.0,0.18112130000000004
"(0.9, 1.0]",0,,,,
