experiment_id,config_id,feature_timing,subset_name,model_family,window,split,seed,hidden_dims,dropout,weight_decay,learning_rate,batch_size,best_epoch,selected_threshold_from_validation,threshold,balanced_accuracy,f1,precision,recall,tn,fp,fn,tp,roc_auc,average_precision,model_path
presleep_stage1_hp_small_dropout40_wd1e3_seed7,small_dropout40_wd1e3,pre_sleep,design_c_stage1_intraday_previous_day,mlp_current_day,1,train,7,"(32, 16)",0.4,0.001,0.0008,64,14,0.53,0.53,0.6876574365092111,0.6333333333333333,0.632016632016632,0.6346555323590815,1011,354,350,608,0.7410049936145969,0.6605128182429867,data\processed\pre_sleep_forecasting\design_c_stage1\experiments\stage1_hyperparameter_stability_outputs\models\presleep_stage1_hp_small_dropout40_wd1e3_seed7_best.pt
presleep_stage1_hp_small_dropout40_wd1e3_seed7,small_dropout40_wd1e3,pre_sleep,design_c_stage1_intraday_previous_day,mlp_current_day,1,validation,7,"(32, 16)",0.4,0.001,0.0008,64,14,0.53,0.53,0.672167577413479,0.5803921568627451,0.556390977443609,0.6065573770491803,166,59,48,74,0.6974134790528234,0.5237701140654138,data\processed\pre_sleep_forecasting\design_c_stage1\experiments\stage1_hyperparameter_stability_outputs\models\presleep_stage1_hp_small_dropout40_wd1e3_seed7_best.pt
presleep_stage1_hp_small_dropout40_wd1e3_seed7,small_dropout40_wd1e3,pre_sleep,design_c_stage1_intraday_previous_day,mlp_current_day,1,test,7,"(32, 16)",0.4,0.001,0.0008,64,14,0.53,0.53,0.6722410268440631,0.5506692160611855,0.7024390243902439,0.4528301886792453,502,61,174,144,0.7029949618508217,0.6266764896381836,data\processed\pre_sleep_forecasting\design_c_stage1\experiments\stage1_hyperparameter_stability_outputs\models\presleep_stage1_hp_small_dropout40_wd1e3_seed7_best.pt
presleep_stage1_hp_small_dropout40_wd1e3_seed123,small_dropout40_wd1e3,pre_sleep,design_c_stage1_intraday_previous_day,mlp_current_day,1,train,123,"(32, 16)",0.4,0.001,0.0008,64,11,0.51,0.51,0.6645086298530976,0.6067532467532467,0.6039296794208894,0.6096033402922756,982,383,374,584,0.7298584505265089,0.6521542959353357,data\processed\pre_sleep_forecasting\design_c_stage1\experiments\stage1_hyperparameter_stability_outputs\models\presleep_stage1_hp_small_dropout40_wd1e3_seed123_best.pt
presleep_stage1_hp_small_dropout40_wd1e3_seed123,small_dropout40_wd1e3,pre_sleep,design_c_stage1_intraday_previous_day,mlp_current_day,1,validation,123,"(32, 16)",0.4,0.001,0.0008,64,11,0.51,0.51,0.6658469945355191,0.5725490196078431,0.5488721804511278,0.5983606557377049,165,60,49,73,0.6914389799635701,0.534830668619966,data\processed\pre_sleep_forecasting\design_c_stage1\experiments\stage1_hyperparameter_stability_outputs\models\presleep_stage1_hp_small_dropout40_wd1e3_seed123_best.pt
presleep_stage1_hp_small_dropout40_wd1e3_seed123,small_dropout40_wd1e3,pre_sleep,design_c_stage1_intraday_previous_day,mlp_current_day,1,test,123,"(32, 16)",0.4,0.001,0.0008,64,11,0.51,0.51,0.6461370465945016,0.5140712945590994,0.6372093023255814,0.4308176100628931,485,78,181,137,0.6885228504083023,0.6065925579128293,data\processed\pre_sleep_forecasting\design_c_stage1\experiments\stage1_hyperparameter_stability_outputs\models\presleep_stage1_hp_small_dropout40_wd1e3_seed123_best.pt
presleep_stage1_hp_small_dropout40_wd1e3_seed2026,small_dropout40_wd1e3,pre_sleep,design_c_stage1_intraday_previous_day,mlp_current_day,1,train,2026,"(32, 16)",0.4,0.001,0.0008,64,12,0.5,0.5,0.6761920056283313,0.6241713411524732,0.6101694915254238,0.6388308977035491,974,391,346,612,0.7364755634066699,0.6517735442312095,data\processed\pre_sleep_forecasting\design_c_stage1\experiments\stage1_hyperparameter_stability_outputs\models\presleep_stage1_hp_small_dropout40_wd1e3_seed2026_best.pt
presleep_stage1_hp_small_dropout40_wd1e3_seed2026,small_dropout40_wd1e3,pre_sleep,design_c_stage1_intraday_previous_day,mlp_current_day,1,validation,2026,"(32, 16)",0.4,0.001,0.0008,64,12,0.5,0.5,0.6636247723132969,0.5703125,0.5447761194029851,0.5983606557377049,164,61,49,73,0.6734426229508197,0.5129873057245535,data\processed\pre_sleep_forecasting\design_c_stage1\experiments\stage1_hyperparameter_stability_outputs\models\presleep_stage1_hp_small_dropout40_wd1e3_seed2026_best.pt
presleep_stage1_hp_small_dropout40_wd1e3_seed2026,small_dropout40_wd1e3,pre_sleep,design_c_stage1_intraday_previous_day,mlp_current_day,1,test,2026,"(32, 16)",0.4,0.001,0.0008,64,12,0.5,0.5,0.6557888445770077,0.541958041958042,0.610236220472441,0.48742138364779874,464,99,163,155,0.7015650658534134,0.6180753175302394,data\processed\pre_sleep_forecasting\design_c_stage1\experiments\stage1_hyperparameter_stability_outputs\models\presleep_stage1_hp_small_dropout40_wd1e3_seed2026_best.pt
presleep_stage1_hp_small_dropout40_wd1e3_seed2027,small_dropout40_wd1e3,pre_sleep,design_c_stage1_intraday_previous_day,mlp_current_day,1,train,2027,"(32, 16)",0.4,0.001,0.0008,64,12,0.55,0.55,0.6693087705613802,0.6030368763557483,0.6275395033860045,0.5803757828810021,1035,330,402,556,0.7361796171817049,0.6592787854614469,data\processed\pre_sleep_forecasting\design_c_stage1\experiments\stage1_hyperparameter_stability_outputs\models\presleep_stage1_hp_small_dropout40_wd1e3_seed2027_best.pt
