experiment_id,epoch,train_loss,validation_selected_threshold,validation_threshold,validation_balanced_accuracy,validation_f1,validation_precision,validation_recall,validation_tn,validation_fp,validation_fn,validation_tp,validation_roc_auc,validation_average_precision,seed
presleep_stage1_seed7,1,0.7901539947535541,0.41,0.41,0.6780327868852459,0.6144578313253012,0.4857142857142857,0.8360655737704918,117,108,20,102,0.6971948998178507,0.49911909391329196,7
presleep_stage1_seed7,2,0.7580236277064761,0.39,0.39,0.6580327868852459,0.5982404692082112,0.4657534246575342,0.8360655737704918,108,117,20,102,0.6964298724954462,0.493381292293154,7
presleep_stage1_seed7,3,0.7416763192898518,0.55,0.55,0.6612568306010929,0.5583333333333333,0.5677966101694916,0.5491803278688525,174,51,55,67,0.6961020036429871,0.4969298689628512,7
presleep_stage1_seed7,4,0.7386685932004774,0.59,0.59,0.6578506375227686,0.5493562231759657,0.5765765765765766,0.5245901639344263,178,47,58,64,0.6939162112932604,0.49206131807214193,7
presleep_stage1_seed7,5,0.7306442309070278,0.5,0.5,0.6473770491803279,0.5576208178438662,0.5102040816326531,0.6147540983606558,153,72,47,75,0.691912568306011,0.49230592778969867,7
presleep_stage1_seed7,6,0.7263245614799293,0.57,0.57,0.6564663023679417,0.5551020408163265,0.5528455284552846,0.5573770491803278,170,55,54,68,0.6889981785063752,0.49058102931054304,7
presleep_stage1_seed7,7,0.7202198328198613,0.64,0.64,0.6655555555555556,0.5520361990950227,0.6161616161616161,0.5,187,38,61,61,0.6984335154826958,0.5139404840675925,7
presleep_stage1_seed7,8,0.716201808001544,0.48,0.48,0.6540437158469945,0.5639097744360902,0.5208333333333334,0.6147540983606558,156,69,47,75,0.6909289617486338,0.508512881940184,7
presleep_stage1_seed7,9,0.7189173150706936,0.5,0.5,0.6543897996357013,0.5627376425855514,0.524822695035461,0.6065573770491803,158,67,48,74,0.693224043715847,0.523655729069417,7
presleep_stage1_seed7,10,0.701577230079754,0.55,0.55,0.6538979963570127,0.5542168674698795,0.5433070866141733,0.5655737704918032,167,58,53,69,0.6912204007285975,0.5152808929005969,7
presleep_stage1_seed7,11,0.6998260198412715,0.45,0.45,0.6478688524590164,0.5653710247349824,0.4968944099378882,0.6557377049180327,144,81,42,80,0.6873224043715846,0.5196961116353067,7
presleep_stage1_seed7,12,0.7102737523413993,0.56,0.56,0.656120218579235,0.5564516129032258,0.5476190476190477,0.5655737704918032,168,57,53,69,0.6895446265938069,0.5254628140508826,7
presleep_stage1_seed7,13,0.6954232518737381,0.64,0.64,0.6628415300546449,0.5384615384615384,0.6511627906976745,0.45901639344262296,195,30,66,56,0.6995628415300547,0.5363794064527626,7
presleep_stage1_seed7,14,0.6968673596511016,0.64,0.64,0.6706921675774135,0.5539906103286385,0.6483516483516484,0.48360655737704916,193,32,63,59,0.6936976320582879,0.5419849259600583,7
presleep_stage1_seed7,15,0.6866483092308044,0.55,0.55,0.651183970856102,0.5423728813559322,0.5614035087719298,0.5245901639344263,175,50,58,64,0.6850273224043716,0.5399594284726631,7
presleep_stage1_seed7,16,0.6823952520215834,0.62,0.62,0.6529143897996357,0.5339366515837104,0.5959595959595959,0.48360655737704916,185,40,63,59,0.6882695810564663,0.5489205949020177,7
presleep_stage1_seed7,17,0.6763585950877216,0.54,0.54,0.6513296903460838,0.5533596837944664,0.5343511450381679,0.5737704918032787,164,61,52,70,0.6801092896174863,0.5331819166162488,7
presleep_stage1_seed7,18,0.6871372751287512,0.48,0.48,0.657103825136612,0.572463768115942,0.512987012987013,0.6475409836065574,150,75,43,79,0.6792714025500909,0.5309798085730504,7
presleep_stage1_seed7,19,0.678874395989083,0.44,0.44,0.6441165755919854,0.5591397849462365,0.4968152866242038,0.639344262295082,146,79,44,78,0.6726411657559199,0.513742611229451,7
presleep_stage1_seed7,20,0.6772290355450398,0.49,0.49,0.6615482695810565,0.5766423357664233,0.5197368421052632,0.6475409836065574,152,73,43,79,0.6759562841530055,0.5363992665240346,7
presleep_stage1_seed7,21,0.6682158982431566,0.49,0.49,0.6603642987249545,0.5714285714285714,0.5277777777777778,0.6229508196721312,157,68,46,76,0.6711475409836066,0.5376562683131824,7
presleep_stage1_seed123,1,0.7976615477252651,0.51,0.51,0.6711293260473589,0.5833333333333334,0.5422535211267606,0.6311475409836066,160,65,45,77,0.7034972677595627,0.5313718069718255,123
presleep_stage1_seed123,2,0.7601182509113003,0.53,0.53,0.6632786885245902,0.5714285714285714,0.5401459854014599,0.6065573770491803,162,63,48,74,0.7051001821493624,0.5259462395009422,123
presleep_stage1_seed123,3,0.7417453559669288,0.56,0.56,0.6639708561020037,0.5691699604743083,0.549618320610687,0.5901639344262295,166,59,50,72,0.7086338797814208,0.5330479472409686,123
presleep_stage1_seed123,4,0.736087030655629,0.57,0.57,0.6687613843351548,0.5725806451612904,0.5634920634920635,0.5819672131147541,170,55,51,71,0.7069216757741348,0.5312311780554994,123
presleep_stage1_seed123,5,0.7293437042751828,0.59,0.59,0.6638251366120218,0.559322033898305,0.5789473684210527,0.5409836065573771,177,48,56,66,0.6984699453551914,0.5222748621194573,123
