feature,feature_group
steps_pre_sleep_sum,pre_sleep_intraday
steps_pre_sleep_record_count,pre_sleep_intraday
steps_pre_sleep_active_record_count,pre_sleep_intraday
steps_pre_sleep_last_3h_sum,pre_sleep_intraday
steps_pre_sleep_last_1h_sum,pre_sleep_intraday
calories_pre_sleep_sum,pre_sleep_intraday
calories_pre_sleep_record_count,pre_sleep_intraday
calories_pre_sleep_last_3h_sum,pre_sleep_intraday
calories_pre_sleep_last_1h_sum,pre_sleep_intraday
heart_rate_pre_sleep_mean,pre_sleep_intraday
heart_rate_pre_sleep_std,pre_sleep_intraday
heart_rate_pre_sleep_min,pre_sleep_intraday
heart_rate_pre_sleep_max,pre_sleep_intraday
heart_rate_pre_sleep_record_count,pre_sleep_intraday
heart_rate_pre_sleep_mean_confidence,pre_sleep_intraday
heart_rate_pre_sleep_last_3h_mean,pre_sleep_intraday
heart_rate_pre_sleep_last_1h_mean,pre_sleep_intraday
heart_rate_pre_sleep_median,pre_sleep_intraday
pre_sleep_window_hours,timing
sleep_start_hour,timing
sleep_start_dayofweek_sin,timing
sleep_start_dayofweek_cos,timing
sleep_start_month_sin,timing
sleep_start_month_cos,timing
previous_day_resting_hr_resting_heart_rate_mean,previous_day_daily
previous_day_resting_hr_error_mean,previous_day_daily
previous_day_resting_hr_record_count,previous_day_daily
previous_day_lightly_active_minutes_sum,previous_day_daily
previous_day_moderately_active_minutes_sum,previous_day_daily
previous_day_sedentary_minutes_sum,previous_day_daily
previous_day_very_active_minutes_sum,previous_day_daily
previous_day_steps_sum,previous_day_daily
previous_day_steps_record_count,previous_day_daily
previous_day_calories_sum,previous_day_daily
previous_day_calories_record_count,previous_day_daily
steps_pre_sleep_sum_missing_ind,missing_indicator
steps_pre_sleep_record_count_missing_ind,missing_indicator
steps_pre_sleep_active_record_count_missing_ind,missing_indicator
steps_pre_sleep_last_3h_sum_missing_ind,missing_indicator
steps_pre_sleep_last_1h_sum_missing_ind,missing_indicator
calories_pre_sleep_sum_missing_ind,missing_indicator
calories_pre_sleep_record_count_missing_ind,missing_indicator
calories_pre_sleep_last_3h_sum_missing_ind,missing_indicator
calories_pre_sleep_last_1h_sum_missing_ind,missing_indicator
heart_rate_pre_sleep_mean_missing_ind,missing_indicator
heart_rate_pre_sleep_std_missing_ind,missing_indicator
heart_rate_pre_sleep_min_missing_ind,missing_indicator
heart_rate_pre_sleep_max_missing_ind,missing_indicator
heart_rate_pre_sleep_record_count_missing_ind,missing_indicator
heart_rate_pre_sleep_mean_confidence_missing_ind,missing_indicator
heart_rate_pre_sleep_last_3h_mean_missing_ind,missing_indicator
heart_rate_pre_sleep_last_1h_mean_missing_ind,missing_indicator
heart_rate_pre_sleep_median_missing_ind,missing_indicator
pre_sleep_window_hours_missing_ind,missing_indicator
sleep_start_hour_missing_ind,missing_indicator
sleep_start_dayofweek_sin_missing_ind,missing_indicator
sleep_start_dayofweek_cos_missing_ind,missing_indicator
sleep_start_month_sin_missing_ind,missing_indicator
sleep_start_month_cos_missing_ind,missing_indicator
previous_day_resting_hr_resting_heart_rate_mean_missing_ind,missing_indicator
previous_day_resting_hr_error_mean_missing_ind,missing_indicator
previous_day_resting_hr_record_count_missing_ind,missing_indicator
previous_day_lightly_active_minutes_sum_missing_ind,missing_indicator
previous_day_moderately_active_minutes_sum_missing_ind,missing_indicator
previous_day_sedentary_minutes_sum_missing_ind,missing_indicator
previous_day_very_active_minutes_sum_missing_ind,missing_indicator
previous_day_steps_sum_missing_ind,missing_indicator
previous_day_steps_record_count_missing_ind,missing_indicator
previous_day_calories_sum_missing_ind,missing_indicator
previous_day_calories_record_count_missing_ind,missing_indicator
