experiment_id,epoch,train_loss,validation_selected_threshold,validation_threshold,validation_balanced_accuracy,validation_f1,validation_precision,validation_recall,validation_tn,validation_fp,validation_fn,validation_tp,validation_roc_auc,validation_average_precision
presleep_stage2_000,1,0.8096685151796084,0.48,0.48,0.6705282331511839,0.6049382716049383,0.48514851485148514,0.8032786885245902,121,104,24,98,0.7119489981785063,0.5473734470415542
presleep_stage2_000,2,0.7528837887016503,0.48,0.48,0.6935883424408015,0.6276923076923077,0.5024630541871922,0.8360655737704918,124,101,20,102,0.7329690346083788,0.5690842758868371
presleep_stage2_000,3,0.7309575145309036,0.4,0.4,0.676448087431694,0.6208791208791209,0.4669421487603306,0.9262295081967213,96,129,9,113,0.7316575591985428,0.5848654729356395
presleep_stage2_000,4,0.7138458087637618,0.47,0.47,0.6672677595628416,0.6047904191616766,0.47641509433962265,0.8278688524590164,114,111,21,101,0.714535519125683,0.5759800402492437
presleep_stage2_000,5,0.688580749808131,0.46,0.46,0.6556648451730419,0.5907692307692308,0.4729064039408867,0.7868852459016393,118,107,26,96,0.7049180327868853,0.5658179521516247
presleep_stage2_000,6,0.6818700948277036,0.39,0.39,0.6525500910746812,0.5965909090909091,0.45652173913043476,0.860655737704918,100,125,17,105,0.7067759562841529,0.557476652039963
presleep_stage2_000,7,0.6650541408641918,0.41,0.41,0.6623315118397086,0.5962732919254659,0.48,0.7868852459016393,121,104,26,96,0.7003642987249544,0.5365561759442208
presleep_stage2_000,8,0.6489142566113859,0.46,0.46,0.6616939890710383,0.584192439862543,0.5029585798816568,0.6967213114754098,141,84,37,85,0.7171948998178506,0.5669309669918442
presleep_stage2_000,9,0.6364991584339658,0.38,0.38,0.6692896174863388,0.6118980169971672,0.4675324675324675,0.8852459016393442,102,123,14,108,0.7056102003642988,0.5706552097937738
presleep_stage2_000,10,0.6289864569096952,0.39,0.39,0.6609471766848816,0.5988023952095808,0.4716981132075472,0.819672131147541,113,112,22,100,0.7131876138433516,0.5614744228550637
presleep_stage2_000,11,0.6126010208516508,0.38,0.38,0.6544262295081967,0.5988700564971752,0.45689655172413796,0.8688524590163934,99,126,16,106,0.7042258652094717,0.5539379234571936
presleep_stage2_000,12,0.6129597312695271,0.29,0.29,0.6636612021857924,0.6051873198847262,0.4666666666666667,0.860655737704918,105,120,17,105,0.7160291438979964,0.5618950392869291
presleep_stage2_000,13,0.6132248495076154,0.39,0.39,0.6478142076502732,0.58125,0.4696969696969697,0.7622950819672131,120,105,29,93,0.6956284153005463,0.5489523292246098
presleep_stage2_000,14,0.5910634857577246,0.46,0.46,0.6577959927140256,0.5703703703703704,0.5202702702702703,0.6311475409836066,154,71,45,77,0.7021493624772314,0.5300818606882896
presleep_stage2_000,15,0.5851400897309587,0.37,0.37,0.6650455373406193,0.6029850746268657,0.47417840375586856,0.8278688524590164,113,112,21,101,0.7092531876138434,0.5607085712347426
presleep_stage2_000,16,0.5591398010382781,0.32,0.32,0.6568488160291439,0.5945945945945946,0.46919431279620855,0.8114754098360656,113,112,23,99,0.7075409836065573,0.5443629629079131
presleep_stage2_000,17,0.5597889213948637,0.32,0.32,0.6264298724954462,0.5689149560117303,0.4429223744292237,0.7950819672131147,103,122,25,97,0.6705646630236795,0.5232143448042059
presleep_stage2_000,18,0.5458049975536965,0.47,0.47,0.6482149362477232,0.5642857142857143,0.5,0.6475409836065574,146,79,43,79,0.7004371584699454,0.5518464455263906
presleep_stage2_000,19,0.5436384049621789,0.46,0.46,0.6630783242258652,0.5806451612903226,0.5159235668789809,0.6639344262295082,149,76,41,81,0.7109289617486338,0.55574528879721
presleep_stage2_000,20,0.5319997853523976,0.47,0.47,0.65591985428051,0.5671641791044776,0.5205479452054794,0.6229508196721312,155,70,46,76,0.7022586520947177,0.5405359845402147
presleep_stage2_000,21,0.5448356713797595,0.47,0.47,0.6562659380692168,0.5660377358490566,0.5244755244755245,0.6147540983606558,157,68,47,75,0.7119125683060108,0.5563783939787859
presleep_stage2_000,22,0.5376395945613449,0.46,0.46,0.6536976320582878,0.5650557620817844,0.5170068027210885,0.6229508196721312,154,71,46,76,0.6913296903460838,0.5557935224205469
