dataset_key,dataset_name,column,dtype,non_empty_count,missing_count,non_empty_ratio,unique_count
sleep,com.samsung.shealth.sleep,total_sleep_time_weight,float64,8,1690,0.004711425206124852,6
sleep,com.samsung.shealth.sleep,original_efficiency,float64,1640,58,0.9658421672555948,92
sleep,com.samsung.shealth.sleep,mental_recovery,float64,255,1443,0.1501766784452297,11
sleep,com.samsung.shealth.sleep,wake_score,float64,1640,58,0.9658421672555948,91
sleep,com.samsung.shealth.sleep,factor_01,float64,1640,58,0.9658421672555948,129
sleep,com.samsung.shealth.sleep,factor_02,float64,1640,58,0.9658421672555948,72
sleep,com.samsung.shealth.sleep,factor_03,float64,1640,58,0.9658421672555948,57
sleep,com.samsung.shealth.sleep,factor_04,float64,1640,58,0.9658421672555948,133
sleep,com.samsung.shealth.sleep,factor_05,float64,1640,58,0.9658421672555948,628
sleep,com.samsung.shealth.sleep,factor_06,float64,1640,58,0.9658421672555948,332
sleep,com.samsung.shealth.sleep,factor_07,float64,1640,58,0.9658421672555948,5
sleep,com.samsung.shealth.sleep,factor_08,float64,1640,58,0.9658421672555948,90
sleep,com.samsung.shealth.sleep,factor_09,float64,1108,590,0.6525323910482921,17
sleep,com.samsung.shealth.sleep,factor_10,float64,255,1443,0.1501766784452297,18
sleep,com.samsung.shealth.sleep,deep_score,float64,0,1698,0.0,0
sleep,com.samsung.shealth.sleep,integrated_id,float64,255,1443,0.1501766784452297,1
sleep,com.samsung.shealth.sleep,latency_weight,float64,1655,43,0.974676089517079,2
sleep,com.samsung.shealth.sleep,has_sleep_data,float64,525,1173,0.30918727915194344,13
sleep,com.samsung.shealth.sleep,bedtime_detection_delay,float64,255,1443,0.1501766784452297,48
sleep,com.samsung.shealth.sleep,sleep_efficiency_with_latency,float64,525,1173,0.30918727915194344,32
sleep,com.samsung.shealth.sleep,wakeup_time_detection_delay,float64,532,1166,0.3133097762073027,192
sleep,com.samsung.shealth.sleep,total_rem_duration,object,99,1599,0.05830388692579505,48
sleep,com.samsung.shealth.sleep,combined_id,float64,177,1521,0.10424028268551237,5
sleep,com.samsung.shealth.sleep,nap_score,float64,868,830,0.5111896348645465,7
sleep,com.samsung.shealth.sleep,sleep_type,float64,525,1173,0.30918727915194344,103
sleep,com.samsung.shealth.sleep,sleep_latency,float64,1645,53,0.9687868080094229,8
sleep,com.samsung.shealth.sleep,data_version,float64,255,1443,0.1501766784452297,17
sleep,com.samsung.shealth.sleep,latency_score,float64,255,1443,0.1501766784452297,2
sleep,com.samsung.shealth.sleep,deep_weight,float64,255,1443,0.1501766784452297,2
sleep,com.samsung.shealth.sleep,rem_weight,float64,1640,58,0.9658421672555948,97
sleep,com.samsung.shealth.sleep,physical_recovery,object,352,1346,0.20730270906949352,352
sleep,com.samsung.shealth.sleep,original_wake_up_time,float64,1640,58,0.9658421672555948,81
sleep,com.samsung.shealth.sleep,movement_awakening,float64,0,1698,0.0,0
sleep,com.samsung.shealth.sleep,is_integrated,object,352,1346,0.20730270906949352,352
sleep,com.samsung.shealth.sleep,original_bed_time,float64,354,1344,0.20848056537102475,1
sleep,com.samsung.shealth.sleep,goal_bed_time,float64,52,1646,0.030624263839811542,3
sleep,com.samsung.shealth.sleep,quality,object,1113,585,0.6554770318021201,1113
sleep,com.samsung.shealth.sleep,extra_data,float64,255,1443,0.1501766784452297,2
sleep,com.samsung.shealth.sleep,wake_weight,float64,255,1443,0.1501766784452297,23
sleep,com.samsung.shealth.sleep,rem_score,float64,354,1344,0.20848056537102475,1
sleep,com.samsung.shealth.sleep,goal_wake_up_time,float64,1640,58,0.9658421672555948,11
sleep,com.samsung.shealth.sleep,sleep_cycle,float64,532,1166,0.3133097762073027,279
sleep,com.samsung.shealth.sleep,total_light_duration,float64,1696,2,0.9988221436984688,263
sleep,com.samsung.shealth.sleep,efficiency,float64,1640,58,0.9658421672555948,79
sleep,com.samsung.shealth.sleep,sleep_score,float64,1640,58,0.9658421672555948,627
sleep,com.samsung.shealth.sleep,sleep_duration,float64,532,1166,0.3133097762073027,2
sleep,com.samsung.shealth.sleep,stage_analyzed_type,float64,255,1443,0.1501766784452297,35
sleep,com.samsung.shealth.sleep,total_sleep_time_score,float64,692,1006,0.4075382803297998,24
sleep,com.samsung.shealth.sleep,com.samsung.health.sleep.create_sh_ver,object,1698,0,1.0,1698
sleep,com.samsung.shealth.sleep,com.samsung.health.sleep.start_time,float64,0,1698,0.0,0
sleep,com.samsung.shealth.sleep,com.samsung.health.sleep.custom,float64,692,1006,0.4075382803297998,27
sleep,com.samsung.shealth.sleep,com.samsung.health.sleep.modify_sh_ver,object,1698,0,1.0,1698
sleep,com.samsung.shealth.sleep,com.samsung.health.sleep.update_time,object,1698,0,1.0,1698
sleep,com.samsung.shealth.sleep,com.samsung.health.sleep.create_time,float64,0,1698,0.0,0
sleep,com.samsung.shealth.sleep,com.samsung.health.sleep.client_data_id,float64,0,1698,0.0,0
sleep,com.samsung.shealth.sleep,com.samsung.health.sleep.client_data_ver,object,1698,0,1.0,2
sleep,com.samsung.shealth.sleep,com.samsung.health.sleep.time_offset,object,1698,0,1.0,5
sleep,com.samsung.shealth.sleep,com.samsung.health.sleep.deviceuuid,float64,0,1698,0.0,0
sleep,com.samsung.shealth.sleep,com.samsung.health.sleep.comment,object,1698,0,1.0,2
sleep,com.samsung.shealth.sleep,com.samsung.health.sleep.pkg_name,object,1698,0,1.0,1696
sleep,com.samsung.shealth.sleep,com.samsung.health.sleep.end_time,object,1698,0,1.0,1698
sleep,com.samsung.shealth.sleep,com.samsung.health.sleep.datauuid,float64,0,1698,0.0,0
sleep_combined,com.samsung.shealth.sleep_combined,total_sleep_time_weight,float64,0,48,0.0,0
sleep_combined,com.samsung.shealth.sleep_combined,original_efficiency,float64,28,20,0.5833333333333334,15
sleep_combined,com.samsung.shealth.sleep_combined,create_sh_ver,object,48,0,1.0,48
sleep_combined,com.samsung.shealth.sleep_combined,start_time,float64,48,0,1.0,34
sleep_combined,com.samsung.shealth.sleep_combined,mental_recovery,float64,17,31,0.3541666666666667,6
sleep_combined,com.samsung.shealth.sleep_combined,wake_score,int64,48,0,1.0,35
sleep_combined,com.samsung.shealth.sleep_combined,factor_01,int64,48,0,1.0,35
sleep_combined,com.samsung.shealth.sleep_combined,factor_02,int64,48,0,1.0,27
sleep_combined,com.samsung.shealth.sleep_combined,factor_03,int64,48,0,1.0,19
sleep_combined,com.samsung.shealth.sleep_combined,factor_04,int64,48,0,1.0,42
sleep_combined,com.samsung.shealth.sleep_combined,factor_05,int64,48,0,1.0,47
sleep_combined,com.samsung.shealth.sleep_combined,factor_06,int64,48,0,1.0,45
sleep_combined,com.samsung.shealth.sleep_combined,factor_07,int64,48,0,1.0,4
sleep_combined,com.samsung.shealth.sleep_combined,factor_08,int64,48,0,1.0,37
sleep_combined,com.samsung.shealth.sleep_combined,factor_09,float64,25,23,0.5208333333333334,3
sleep_combined,com.samsung.shealth.sleep_combined,factor_10,float64,17,31,0.3541666666666667,9
sleep_combined,com.samsung.shealth.sleep_combined,deep_score,float64,17,31,0.3541666666666667,1
sleep_combined,com.samsung.shealth.sleep_combined,latency_weight,int64,48,0,1.0,1
sleep_combined,com.samsung.shealth.sleep_combined,has_sleep_data,float64,17,31,0.3541666666666667,14
sleep_combined,com.samsung.shealth.sleep_combined,sleep_efficiency_with_latency,float64,23,25,0.4791666666666667,22
sleep_combined,com.samsung.shealth.sleep_combined,total_rem_duration,float64,28,20,0.5833333333333334,15
sleep_combined,com.samsung.shealth.sleep_combined,modify_sh_ver,object,48,0,1.0,48
sleep_combined,com.samsung.shealth.sleep_combined,update_time,float64,7,41,0.14583333333333334,1
sleep_combined,com.samsung.shealth.sleep_combined,nap_score,object,48,0,1.0,48
sleep_combined,com.samsung.shealth.sleep_combined,create_time,float64,0,48,0.0,0
sleep_combined,com.samsung.shealth.sleep_combined,client_data_id,float64,11,37,0.22916666666666666,3
sleep_combined,com.samsung.shealth.sleep_combined,sleep_type,int64,48,0,1.0,7
sleep_combined,com.samsung.shealth.sleep_combined,data_version,float64,17,31,0.3541666666666667,6
sleep_combined,com.samsung.shealth.sleep_combined,latency_score,float64,17,31,0.3541666666666667,2
sleep_combined,com.samsung.shealth.sleep_combined,deep_weight,float64,17,31,0.3541666666666667,2
sleep_combined,com.samsung.shealth.sleep_combined,rem_weight,float64,48,0,1.0,38
sleep_combined,com.samsung.shealth.sleep_combined,physical_recovery,float64,0,48,0.0,0
sleep_combined,com.samsung.shealth.sleep_combined,original_wake_up_time,float64,0,48,0.0,0
sleep_combined,com.samsung.shealth.sleep_combined,client_data_ver,float64,48,0,1.0,33
sleep_combined,com.samsung.shealth.sleep_combined,movement_awakening,float64,0,48,0.0,0
