source_sleep_id,samsung_stage_code,stage_rows,stage_total_minutes
00000000-0000-0000-0000-000000211e3f,40001,24,37.35
00000000-0000-0000-0000-000000211e3f,40002,29,280.0
00000000-0000-0000-0000-000000211e3f,40003,5,28.0
00000000-0000-0000-0000-000000211e3f,40004,1,13.0
00000000-0000-0000-0000-0000002d6124,40001,24,53.43333333333333
00000000-0000-0000-0000-0000002d6124,40002,23,93.0
00000000-0000-0000-0000-0000002d6124,40004,2,14.0
00000000-0000-0000-0000-000000af27d3,40001,52,88.21666666666667
00000000-0000-0000-0000-000000af27d3,40002,54,423.0
00000000-0000-0000-0000-000000af27d3,40003,4,45.0
00000000-0000-0000-0000-000000af27d3,40004,3,27.0
00000000-0000-0000-0000-00000195f9d2,40001,68,110.15
00000000-0000-0000-0000-00000195f9d2,40002,70,574.0
00000000-0000-0000-0000-00000195f9d2,40003,9,70.0
00000000-0000-0000-0000-00000195f9d2,40004,6,53.0
00000000-0000-0000-0000-000001c0b817,40001,19,69.4
00000000-0000-0000-0000-000001c0b817,40002,18,116.0
00000000-0000-0000-0000-0000024aecac,40001,10,23.066666666666666
00000000-0000-0000-0000-0000024aecac,40002,10,54.0
00000000-0000-0000-0000-0000024aecac,40004,1,7.0
00000000-0000-0000-0000-000005cfafa4,40001,12,33.86666666666667
00000000-0000-0000-0000-000005cfafa4,40002,13,52.0
00000000-0000-0000-0000-000005f2cc86,40001,31,39.016666666666666
00000000-0000-0000-0000-000005f2cc86,40002,33,238.0
00000000-0000-0000-0000-000005f2cc86,40003,7,78.0
00000000-0000-0000-0000-000005f2cc86,40004,5,44.0
00000000-0000-0000-0000-000006030877,40001,59,102.16666666666667
00000000-0000-0000-0000-000006030877,40002,65,434.0
00000000-0000-0000-0000-000006030877,40003,7,50.0
00000000-0000-0000-0000-000006796ba3,40001,5,6.75
00000000-0000-0000-0000-000006796ba3,40002,6,49.0
00000000-0000-0000-0000-000006796ba3,40003,1,2.0
00000000-0000-0000-0000-000006796ba3,40004,1,40.0
00000000-0000-0000-0000-0000078e9317,40001,51,65.0
00000000-0000-0000-0000-0000078e9317,40002,61,535.3833333333333
00000000-0000-0000-0000-0000078e9317,40003,13,145.0
00000000-0000-0000-0000-0000078e9317,40004,10,112.0
00000000-0000-0000-0000-000007cfbce4,40001,25,38.36666666666667
00000000-0000-0000-0000-000007cfbce4,40002,27,202.0
00000000-0000-0000-0000-000007cfbce4,40003,4,29.0
00000000-0000-0000-0000-000007cfbce4,40004,1,10.0
00000000-0000-0000-0000-000007f0bd66,40001,29,40.0
00000000-0000-0000-0000-000007f0bd66,40002,35,448.15
00000000-0000-0000-0000-000007f0bd66,40003,7,51.0
00000000-0000-0000-0000-000007f0bd66,40004,1,14.0
00000000-0000-0000-0000-0000082f78e8,40001,60,110.41666666666667
00000000-0000-0000-0000-0000082f78e8,40002,67,540.0
00000000-0000-0000-0000-0000082f78e8,40003,7,59.0
00000000-0000-0000-0000-0000082f78e8,40004,1,7.0
00000000-0000-0000-0000-00000a0c0f7e,40001,47,60.31666666666666
00000000-0000-0000-0000-00000a0c0f7e,40002,54,449.0
00000000-0000-0000-0000-00000a0c0f7e,40003,9,65.0
00000000-0000-0000-0000-00000a0c0f7e,40004,3,43.0
00000000-0000-0000-0000-00000bc7aaff,40001,11,13.0
00000000-0000-0000-0000-00000bc7aaff,40002,12,57.06666666666666
00000000-0000-0000-0000-00000bc7aaff,40003,3,20.0
00000000-0000-0000-0000-00000bc7aaff,40004,2,27.0
00000000-0000-0000-0000-00000bfc31d7,40001,15,27.233333333333334
00000000-0000-0000-0000-00000bfc31d7,40002,17,79.0
00000000-0000-0000-0000-00000bfc31d7,40003,3,7.0
00000000-0000-0000-0000-00000bfc31d7,40004,1,7.0
00000000-0000-0000-0000-00000c534200,40001,23,40.8
00000000-0000-0000-0000-00000c534200,40002,23,189.0
00000000-0000-0000-0000-00000c534200,40003,1,8.0
00000000-0000-0000-0000-00000c6dd48e,40001,25,37.43333333333333
00000000-0000-0000-0000-00000c6dd48e,40002,30,281.0
00000000-0000-0000-0000-00000c6dd48e,40003,6,47.0
00000000-0000-0000-0000-00000c6dd48e,40004,3,32.0
00000000-0000-0000-0000-00000d844978,40001,30,57.31666666666666
00000000-0000-0000-0000-00000d844978,40002,32,279.0
00000000-0000-0000-0000-00000d844978,40003,2,13.0
00000000-0000-0000-0000-00000d844978,40004,2,23.0
00000000-0000-0000-0000-00000d9bf7ee,40001,10,20.966666666666665
00000000-0000-0000-0000-00000d9bf7ee,40002,10,88.0
00000000-0000-0000-0000-00000d9bf7ee,40004,1,10.0
00000000-0000-0000-0000-00000e6d04e9,40001,56,79.2
00000000-0000-0000-0000-00000e6d04e9,40002,65,509.0
00000000-0000-0000-0000-00000e6d04e9,40003,16,127.0
00000000-0000-0000-0000-00000e76065d,40001,41,65.96666666666667
00000000-0000-0000-0000-00000e76065d,40002,44,307.0
00000000-0000-0000-0000-00000e76065d,40003,8,70.0
00000000-0000-0000-0000-00000e76065d,40004,4,41.0
00000000-0000-0000-0000-00000f8bc769,40001,40,67.2
00000000-0000-0000-0000-00000f8bc769,40002,47,470.0
00000000-0000-0000-0000-00000f8bc769,40003,7,82.0
