metric,value
episode_rows,1493.0
stage_summary_rows,6338.0
unknown_stage_rows,0.0
label_coverage_count,1493.0
label_coverage_rate,1.0
positive_count,39.0
positive_rate_among_labeled,0.026121902210314803
mean_duration_hours,6.788186565825706
median_duration_hours,6.246388888888889
mean_stage_efficiency,0.677295024358441
median_stage_efficiency,0.655767562501403
mean_awake_ratio,0.3227049756415589
median_awake_ratio,0.344232437498597
duration_ok_rate,0.3054253181513731
efficiency_ok_rate,0.07635632953784327
awake_ok_rate,0.11654387139986604
