threshold,rows,positive_count,positive_rate,predicted_positive_count,predicted_positive_rate,mean_probability,median_probability,balanced_accuracy,sensitivity,specificity,precision,recall,f1,tn,fp,fn,tp
0.3,1493,39,0.026121902210314803,1470,0.9845947756195579,0.38478235359678503,0.38455546,0.5079092159559835,1.0,0.01581843191196699,0.026530612244897958,1.0,0.05168986083499005,23,1431,0,39
0.31,1493,39,0.026121902210314803,1466,0.9819156061620897,0.38478235359678503,0.38455546,0.5092847317744154,1.0,0.018569463548830812,0.02660300136425648,1.0,0.051827242524916946,27,1427,0,39
0.32,1493,39,0.026121902210314803,1457,0.9758874748827864,0.38478235359678503,0.38455546,0.5123796423658872,1.0,0.024759284731774415,0.026767330130404943,1.0,0.05213903743315508,36,1418,0,39
0.33,1493,39,0.026121902210314803,1441,0.9651707970529136,0.38478235359678503,0.38455546,0.504717313864494,0.9743589743589743,0.035075653370013754,0.0263705759888966,0.9743589743589743,0.05135135135135135,51,1403,1,38
0.34,1493,39,0.026121902210314803,1412,0.9457468184862693,0.38478235359678503,0.38455546,0.5015254117730046,0.9487179487179487,0.054332874828060526,0.026203966005665724,0.9487179487179487,0.05099931082012405,79,1375,2,37
0.35,1493,39,0.026121902210314803,1346,0.9015405224380442,0.38478235359678503,0.38455546,0.45839946390152714,0.8205128205128205,0.09628610729023383,0.0237741456166419,0.8205128205128205,0.04620938628158844,140,1314,7,32
0.36,1493,39,0.026121902210314803,1225,0.8204956463496316,0.38478235359678503,0.38455546,0.4210224667583677,0.6666666666666666,0.17537826685006877,0.02122448979591837,0.6666666666666666,0.04113924050632912,255,1199,13,26
0.37,1493,39,0.026121902210314803,1075,0.7200267916945747,0.38478235359678503,0.38455546,0.40678235107396044,0.5384615384615384,0.2751031636863824,0.01953488372093023,0.5384615384615384,0.03770197486535008,400,1054,18,21
0.38,1493,39,0.026121902210314803,864,0.578700602813128,0.38478235359678503,0.38455546,0.36086128452015664,0.3076923076923077,0.4140302613480055,0.013888888888888888,0.3076923076923077,0.026578073089700997,602,852,27,12
0.39,1493,39,0.026121902210314803,629,0.4212993971868721,0.38478235359678503,0.38455546,0.36268648820230664,0.15384615384615385,0.5715268225584594,0.009538950715421303,0.15384615384615385,0.017964071856287425,831,623,33,6
0.4,1493,39,0.026121902210314803,411,0.275284661754856,0.38478235359678503,0.38455546,0.4113233167566042,0.10256410256410256,0.7200825309491059,0.009732360097323601,0.10256410256410256,0.017777777777777778,1047,407,35,4
0.41,1493,39,0.026121902210314803,231,0.15472203616878769,0.38478235359678503,0.38455546,0.4468927450357987,0.05128205128205128,0.842503438789546,0.008658008658008658,0.05128205128205128,0.014814814814814815,1225,229,37,2
0.42,1493,39,0.026121902210314803,126,0.08439383791024782,0.38478235359678503,0.38455546,0.45667125171939477,0.0,0.9133425034387895,0.0,0.0,,1328,126,39,0
0.43,1493,39,0.026121902210314803,75,0.05023442732752847,0.38478235359678503,0.38455546,0.47420907840440163,0.0,0.9484181568088033,0.0,0.0,,1379,75,39,0
0.44,1493,39,0.026121902210314803,38,0.025452109845947757,0.38478235359678503,0.38455546,0.48693259972489683,0.0,0.9738651994497937,0.0,0.0,,1416,38,39,0
0.45,1493,39,0.026121902210314803,33,0.022103148024112524,0.38478235359678503,0.38455546,0.4886519944979367,0.0,0.9773039889958735,0.0,0.0,,1421,33,39,0
