category,file_name,dataset_name,schema_version,data_version,row_count,column_count,time_columns,id_columns,main_metric_columns,linked_or_internal_data_columns,date_range,structure_note
건강기록/PHR,com.samsung.shealth.phr.health_record.20260629163038.csv,com.samsung.shealth.phr.health_record,7000107,2,233,15,"primary_time, update_time, create_time, time_offset","provider_uuid, deviceuuid, datauuid",,fhir_data,update_time: 2025-08-15~2026-04-15; create_time: 2025-08-15~2026-04-15,"첫 줄은 메타정보, 둘째 줄은 컬럼명, 셋째 줄부터 실제 데이터"
건강기록/PHR,com.samsung.shealth.phr.provider_connection.20260629163038.csv,com.samsung.shealth.phr.provider_connection,7000107,1,2,15,"last_synced_time_offset, registration_time_offset, registration_time, update_time, create_time, last_synced_time","deviceuuid, datauuid, provider_id",,,update_time: 2026-06-20~2026-06-20; create_time: 2025-08-15~2025-08-15,"첫 줄은 메타정보, 둘째 줄은 컬럼명, 셋째 줄부터 실제 데이터"
건강기록/PHR,com.samsung.shealth.phr.viewed.20260629163038.csv,com.samsung.shealth.phr.viewed,7000107,2,18,9,"start_time, update_time, create_time","deviceuuid, datauuid",,,start_time: 2025-08-15~2026-04-15; update_time: 2025-08-15~2026-04-15; create_time: 2025-08-15~2025-08-15,"첫 줄은 메타정보, 둘째 줄은 컬럼명, 셋째 줄부터 실제 데이터"
기기/설정,com.samsung.health.device_profile.20260629163038.csv,com.samsung.health.device_profile,7000107,9,9,20,"update_time, create_time","legacy_deviceuuid, deviceuuid, datauuid",,,update_time: 2017-12-03~2026-06-21; create_time: 2017-12-03~2025-08-01,"첫 줄은 메타정보, 둘째 줄은 컬럼명, 셋째 줄부터 실제 데이터"
기기/설정,com.samsung.shealth.permission.20260629163038.csv,com.samsung.shealth.permission,7000107,1,2,12,"update_time, create_time","client_id, deviceuuid, datauuid",,,update_time: 2021-06-13~2021-07-22; create_time: 2021-06-13~2021-07-22,"첫 줄은 메타정보, 둘째 줄은 컬럼명, 셋째 줄부터 실제 데이터"
기기/설정,com.samsung.shealth.preferences.20260629163038.csv,com.samsung.shealth.preferences,7000107,2,114,13,"update_time, create_time","service_id, deviceuuid, datauuid",,,update_time: 2018-06-08~2026-06-29; create_time: 2018-06-08~2026-06-25,"첫 줄은 메타정보, 둘째 줄은 컬럼명, 셋째 줄부터 실제 데이터"
기기/설정,com.samsung.shealth.service_preferences.20260629163038.csv,com.samsung.shealth.service_preferences,7000107,1,26,14,"update_time, create_time","service_id, deviceuuid, datauuid",,,update_time: 2024-08-10~2026-06-28; create_time: 2024-06-30~2026-06-20,"첫 줄은 메타정보, 둘째 줄은 컬럼명, 셋째 줄부터 실제 데이터"
기기/설정,com.samsung.shealth.shm_device.20260629163038.csv,com.samsung.shealth.shm_device,7000107,2,13,17,"update_time, create_time, time_offset, shm_update_time, shm_create_time","shm_data_id, shm_device_uuid, deviceuuid, datauuid",,,update_time: 2025-07-14~2025-07-31; create_time: 2025-07-14~2025-07-31,"첫 줄은 메타정보, 둘째 줄은 컬럼명, 셋째 줄부터 실제 데이터"
기타,com.samsung.shealth.breathing.20260629163038.csv,com.samsung.shealth.breathing,7000107,4,2,18,"start_time, update_time, create_time, time_offset, end_time","deviceuuid, datauuid",duration,,start_time: 2018-11-09~2022-10-26; update_time: 2018-11-09~2022-10-26; create_time: 2018-11-09~2022-10-26; end_time: 2018-11-09~2022-10-26,"첫 줄은 메타정보, 둘째 줄은 컬럼명, 셋째 줄부터 실제 데이터"
기타,com.samsung.shealth.hsp.references.20260629163038.csv,com.samsung.shealth.hsp.references,7000107,1,17014,8,"update_time, create_time","hsp_id, shealth_id, deviceuuid, datauuid",,,update_time: 2025-01-31~2026-06-29; create_time: 2025-01-31~2026-06-29,"첫 줄은 메타정보, 둘째 줄은 컬럼명, 셋째 줄부터 실제 데이터"
